,Name,RA,Dec,Class,Gmag
39,2MASS J00450373-7304508,11.27,-73.08,Cool,14.02
104,WISE J005302.37-722955.6,13.26,-72.50,Cool,13.78
123,WISE J005352.82-713757.4,13.47,-71.63,Cool,13.34
180,SkKM 181,14.73,-72.55,Cool,13.81
212,SSTISAGEMA J010416.94-721423.5,16.07,-72.24,Cool,14.05
262,SSTISAGEMA J012150.98-733740.9,20.46,-73.63,Cool,14.29
285, HV  2231,22.61,-73.31,Cool,13.34
413,TYC 3740-1791-1,67.04,56.98,EM,10.76
430,WISE J043726.29-734942.3,69.36,-73.83,Cool,14.29
441,OGLE BRIGHT-LMC-MISC-545,70.93,-67.78,Cool,13.23
520,OGLE BRIGHT-LMC-MISC-169,72.95,-69.32,Cool,12.31
552,WISE J045342.48-671617.5,73.43,-67.27,Cool,13.69
573,WISE J045451.56-670203.9,73.71,-67.03,EM,14.05
605,WISE J045550.56-695807.0,73.96,-69.97,EM,13.95
607,WISE J045557.54-702100.5,73.99,-70.35,Cool,13.47
620,{[KWV2015]} J045626.51-692350.6,74.11,-69.40,Cool,12.47
642,WISE J045655.01-693312.0,74.23,-69.55,Cool,13.09
654,WISE J045719.13-673047.0,74.33,-67.51,EM,14.63
698,WISE J045846.54-670533.4,74.69,-67.09,Cool,14.07
746,WISE J050102.45-680240.0,75.26,-68.04,Cool,13.52
754,MACHO  23.3422.13,75.36,-70.67,Cool,13.63
756,WISE J050128.62-701120.2,75.37,-70.19,EM,13.88
777,2MASS J05023010-6954046,75.63,-69.90,Cool,15.76
807,MACHO  53.3728.12,75.85,-66.38,Cool,13.27
808,WISE J050324.56-662302.8,75.85,-66.38,Cool,13.45
836,WISE J050417.01-662545.7,76.07,-66.43,Cool,14.00
853,WISE J050451.37-714753.0,76.21,-71.80,Cool,13.73
859,2MASS J05045770-6854047,76.24,-68.90,Cool,14.65
877,2MASS J05053752-6854246,76.41,-68.91,Cool,14.80
887,WISE J050555.12-663101.8,76.48,-66.52,Cool,14.12
906,OGLE BRIGHT-LMC-MISC-378,76.64,-68.36,Cool,13.43
936,WISE J050733.38-683117.8,76.89,-68.52,Cool,13.79
956,2MASS J05083701-6944292,77.15,-69.74,Cool,15.67
962,WISE J050911.17-655205.7,77.30,-65.87,Cool,13.22
967,MACHO  79.4659.3349,77.37,-68.85,Cool,13.43
989,WISE J051038.76-642117.8,77.66,-64.35,EM,14.23
1024,EROS2-star lm009-0m-23560,78.28,-69.19,Cool,13.94
1035,WISE J051341.58-671209.4,78.42,-67.20,Cool,13.14
1054,OGLE LMC-SC9 298161,78.73,-69.56,Cool,14.25
1078,2MASS J05160540-6931248,79.02,-69.52,Cool,15.65
1083,WISE J051618.95-671546.7,79.08,-67.26,Cool,13.70
1192,2MASS J05210864-6944528,80.29,-69.75,Cool,15.56
1213,2MASS J05222133-6910560,80.59,-69.18,Cool,15.83
1255,2MASS J05241617-6939310,81.07,-69.66,Cool,13.24
1283,WISE J052519.24-695210.1,81.33,-69.87,Cool,14.34
1363,2MASS J05275804-7046380,81.99,-70.78,Cool,15.75
1406,2MASS J05285227-7000245,82.22,-70.01,Cool,14.95
1423,WISE J052915.30-671259.8,82.31,-67.22,EM,13.71
1462,WISE J053001.84-664614.4,82.51,-66.77,EM,13.86
1494, NGC 2004      E      33,82.68,-67.30,Cool,12.81
1500, NGC 2004   BBBC     431,82.69,-67.29,Cool,12.44
1502, NGC 2004    ROB B45,82.70,-67.28,Cool,12.91
1507,MACHO   7.8140.13,82.73,-70.70,Cool,13.36
1540,2MASS J05315864-6650268,82.99,-66.84,Cool,15.04
1558,W61 19-14,83.08,-67.53,Cool,12.17
1594,WISE J053323.01-673059.8,83.35,-67.52,EM,13.64
1597,WISE J053329.59-670413.9,83.37,-67.07,Cool,13.27
1629,WISE J053424.65-662557.5,83.60,-66.43,EM,13.66
1678,SP77  55-7,84.07,-71.02,Cool,13.38
1681,2MASS J05362506-7012222,84.10,-70.21,EM,16.01
1718,{[MG73]}  80,84.45,-69.42,Cool,12.81
1817,2MASS J05414606-7003329,85.44,-70.06,Cool,15.82
1827,W61  6-34,85.52,-69.22,Cool,12.64
1828,W61  6-46,85.53,-69.21,Cool,12.96
1831,W61  6-54,85.54,-69.22,Cool,12.61
1832,W61  6-65,85.55,-69.21,Cool,12.72
1834,W61  6-69,85.55,-69.20,Cool,12.90
1863,WISE J054315.11-671749.1,85.81,-67.30,Cool,13.25
1908,WISE J054549.56-754500.6,86.46,-75.75,Cool,14.30
2344,WISE J091206.31-533545.3,138.03,-53.60,Cool,11.06
2379,WISE J110247.58-610632.9,165.70,-61.11,EM,11.11
2382,CPD-60  2585,167.56,-60.78,EM,9.75
2440,WISE J164905.67-290748.2,252.27,-29.13,Cool,13.25
2484,TYC 7906-333-1,278.15,-39.47,Cool,10.45
2494,WISE J185608.58-163255.1,284.04,-16.55,Cool,12.04
2516,WISE J194127.64+385155.3,295.37,38.87,Cool,12.33
2525,TYC 2670-214-1,299.61,31.81,EM,11.34
