cntr_01,dist_x,pang_x,designation_01,source_id_01,ra_01,dec_01,oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag
140,0.109431,-6.016319,Gaia DR3 4139702858161111040,4139702858161111040,2.5704781869E+02,-1.4444209130E+01,330214400013475,257.0478154,-14.4441789,330,14,4,zr,619,619,643,643,1.305800E+01,1.700000E-02,1.775744E-07,9.033916E-01,1.135683E-02,1.311397E+01,6.326675E-03,1.308117E+01,1.038302E-02,1.302001E+01
140,0.135324,-3.234278,Gaia DR3 4139702858161111040,4139702858161111040,2.5704781869E+02,-1.4444209130E+01,330114400007280,257.0478165,-14.4441716,330,14,4,zg,133,133,151,151,1.346800E+01,1.500000E-02,2.906527E-07,6.863744E-01,1.300052E-02,1.350483E+01,7.822990E-03,1.346570E+01,1.689802E-02,1.343719E+01
141,0.095962,-2.816656,Gaia DR3 5712099829855518976,5712099829855518976,1.1580414901E+02,-2.1720660424E+01,261216300013511,115.8041476,-21.7206338,261,16,3,zr,192,192,445,443,1.187400E+01,5.000000E-03,7.051923E-07,1.142551E+01,2.519359E-01,1.217711E+01,9.380722E-02,1.189001E+01,1.217264E-02,1.094742E+01
154,0.027384,90.399212,Gaia DR3 2242271072260536832,2242271072260536832,2.9508038101E+02,6.4061832153E+01,1858106300009338,295.0803984,64.0618321,1858,6,3,zg,45,35,51,39,1.369600E+01,1.300000E-02,3.806678E-07,1.029612E+00,1.600566E-02,1.375983E+01,9.360313E-03,1.371685E+01,1.347848E-02,1.369161E+01
154,0.030838,-3.835398,Gaia DR3 2242271072260536832,2242271072260536832,2.9508038101E+02,6.4061832153E+01,1858206300011783,295.0803797,64.0618407,1858,6,3,zr,50,50,52,52,1.398600E+01,1.500000E-02,2.233822E-07,1.162288E+00,1.456435E-02,1.404043E+01,7.581234E-03,1.399546E+01,9.670530E-03,1.396941E+01
167,0.022969,50.328526,Gaia DR3 4542408715637413888,4542408715637413888,2.6163971894E+02,1.3942366727E+01,1582207400008169,261.6397240,13.9423708,1582,7,4,zr,49,29,52,32,1.370500E+01,1.800000E-02,6.528745E-07,1.066747E+00,1.314432E-02,1.373706E+01,7.060051E-03,1.370990E+01,9.812292E-03,1.367883E+01
167,0.052878,24.433070,Gaia DR3 4542408715637413888,4542408715637413888,2.6163971894E+02,1.3942366727E+01,1582107400006202,261.6397252,13.9423801,1582,7,4,zg,31,17,33,19,1.341700E+01,1.600000E-02,4.273485E-07,7.352995E-01,1.466262E-02,1.347813E+01,5.906105E-03,1.342982E+01,1.190860E-02,1.341492E+01
167,0.110568,-9.714741,Gaia DR3 4542408715637413888,4542408715637413888,2.6163971894E+02,1.3942366727E+01,536216400011586,261.6397136,13.9423970,536,16,4,zr,876,792,955,844,1.370700E+01,1.500000E-02,5.188174E-07,1.009195E+00,4.678687E-02,1.504278E+01,7.434845E-03,1.371280E+01,1.092247E-02,1.361718E+01
167,0.154871,-6.138719,Gaia DR3 4542408715637413888,4542408715637413888,2.6163971894E+02,1.3942366727E+01,536116400008555,261.6397142,13.9424095,536,16,4,zg,382,380,422,420,1.343100E+01,1.500000E-02,5.694628E-07,9.342782E-01,6.969916E-02,1.479063E+01,6.258011E-03,1.344509E+01,9.930797E-03,1.341047E+01
181,0.047196,-59.995181,Gaia DR3 2927469263952955008,2927469263952955008,1.0659626499E+02,-2.3607114956E+01,259210400014686,106.5962526,-23.6071084,259,10,4,zr,290,289,532,531,1.307200E+01,1.100000E-02,2.917283E-07,1.016067E+00,4.892106E-02,1.386950E+01,9.006977E-03,1.307442E+01,1.314258E-02,1.302462E+01
181,0.089393,4.465683,Gaia DR3 2927469263952955008,2927469263952955008,1.0659626499E+02,-2.3607114956E+01,259110400008990,106.5962671,-23.6070902,259,10,4,zg,86,85,102,101,1.305200E+01,8.000000E-03,3.707977E-07,7.849529E-01,1.357666E-02,1.309100E+01,7.782936E-03,1.305604E+01,1.470022E-02,1.301728E+01
183,0.058397,17.634872,Gaia DR3 2927969881041212672,2927969881041212672,1.0850057008E+02,-2.2522456759E+01,260212200006057,108.5005754,-22.5224413,260,12,2,zr,763,762,1000,999,1.292000E+01,1.800000E-02,5.489548E-07,9.364132E-01,1.716992E-02,1.304142E+01,9.152412E-03,1.294455E+01,1.449079E-02,1.287288E+01
183,0.069491,-24.542880,Gaia DR3 2927969881041212672,2927969881041212672,1.0850057008E+02,-2.2522456759E+01,259209100007832,108.5005614,-22.5224392,259,9,1,zr,310,309,552,551,1.293500E+01,1.300000E-02,5.182877E-07,1.250288E+00,9.173796E-02,1.453468E+01,1.134300E-02,1.294883E+01,1.345061E-02,1.288478E+01
183,0.114351,1.033107,Gaia DR3 2927969881041212672,2927969881041212672,1.0850057008E+02,-2.2522456759E+01,259109100004445,108.5005707,-22.5224250,259,9,1,zg,92,91,103,102,1.290200E+01,1.100000E-02,1.109346E-06,8.744881E-01,2.045333E-02,1.297107E+01,8.807659E-03,1.291235E+01,1.493243E-02,1.282867E+01
183,0.133722,5.737443,Gaia DR3 2927969881041212672,2927969881041212672,1.0850057008E+02,-2.2522456759E+01,260112200003669,108.5005741,-22.5224198,260,12,2,zg,107,106,125,124,1.289200E+01,9.000000E-03,5.419012E-07,8.919763E-01,1.435789E-02,1.296657E+01,7.276535E-03,1.292508E+01,1.209471E-02,1.287234E+01
185,0.127944,15.960297,Gaia DR3 2927999365998649728,2927999365998649728,1.0775721662E+02,-2.2530798670E+01,259109100029245,107.7572272,-22.5307645,259,9,1,zg,82,81,103,102,1.195400E+01,2.000000E-02,1.180134E-06,1.019657E+00,2.074704E-02,1.197810E+01,1.039457E-02,1.192452E+01,1.511391E-02,1.185996E+01
246,0.025322,-10.232340,Gaia DR3 1827037654207752320,1827037654207752320,3.0000004135E+02,2.2247902878E+01,591313100023050,300.0000400,22.2479098,591,13,1,zi,34,34,159,159,1.257900E+01,2.200000E-02,2.792819E-07,1.156178E+00,1.414556E-02,1.253411E+01,1.045609E-02,1.249988E+01,1.340813E-02,1.247710E+01
246,0.053343,77.836853,Gaia DR3 1827037654207752320,1827037654207752320,3.0000004135E+02,2.2247902878E+01,592316200076244,300.0000570,22.2479060,592,16,2,zi,15,11,20,15,1.252600E+01,2.000000E-02,2.119448E-07,1.253839E+00,1.641560E-02,1.251248E+01,1.070023E-02,1.248847E+01,1.265247E-02,1.245689E+01
246,0.054799,-0.174189,Gaia DR3 1827037654207752320,1827037654207752320,3.0000004135E+02,2.2247902878E+01,592216200065987,300.0000413,22.2479181,592,16,2,zr,902,865,1031,982,1.263100E+01,3.000000E-02,3.173303E-07,9.666496E-01,1.330539E-02,1.266732E+01,8.287907E-03,1.262459E+01,1.271159E-02,1.257235E+01
246,0.068398,-5.170683,Gaia DR3 1827037654207752320,1827037654207752320,3.0000004135E+02,2.2247902878E+01,592116200023681,300.0000395,22.2479218,592,16,2,zg,344,341,385,382,1.298900E+01,1.300000E-02,3.147851E-07,9.390292E-01,1.378477E-02,1.305688E+01,8.589268E-03,1.298146E+01,1.356129E-02,1.294383E+01
246,0.093739,-16.839752,Gaia DR3 1827037654207752320,1827037654207752320,3.0000004135E+02,2.2247902878E+01,591213100022528,300.0000332,22.2479278,591,13,1,zr,791,756,999,953,1.271200E+01,1.500000E-02,3.307511E-07,1.380336E+00,2.226960E-02,1.269995E+01,1.496506E-02,1.263138E+01,1.607377E-02,1.255229E+01
246,0.097718,-10.113904,Gaia DR3 1827037654207752320,1827037654207752320,3.0000004135E+02,2.2247902878E+01,591113100021421,300.0000362,22.2479296,591,13,1,zg,479,478,545,544,1.299800E+01,1.900000E-02,4.196359E-07,1.010452E+00,1.807891E-02,1.304009E+01,1.288891E-02,1.298126E+01,1.891143E-02,1.291830E+01
289,0.068829,37.020585,Gaia DR3 2032684811511079936,2032684811511079936,2.9398071307E+02,3.0278326935E+01,685201400057147,293.9807264,30.2783422,685,1,4,zr,705,705,862,862,1.324200E+01,2.300000E-02,4.351931E-07,9.295502E-01,1.555020E-02,1.326545E+01,1.047611E-02,1.320621E+01,1.670903E-02,1.314332E+01
