index,cntr_01,dist_x,pang_x,designation_01,source_id_01,ra_01,dec_01,oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag
0,1,4.449383,99.851852,Gaia DR3 2263638568916884096,2263638568916884096,297.57873582,71.364333009,1877206400029453.0,297.5825465,71.3641215,1877.0,6.0,4.0,zr,0.0,0.0,0.0,0.0,15.595,0.157,0.0,,0.0,0.0,0.0,0.0,,0.0
2,3,8.750706,60.576784,Gaia DR3 2270570062017774976,2270570062017774976,320.93731562,69.534391082,1878101400032075.0,320.9433713,69.5355851,1878.0,1.0,4.0,zg,1.0,1.0,1.0,1.0,15.865,0.116,0.0,0.0,,16.48056,0.0,16.48056,0.01495403,16.48056
3,4,4.677003,-77.70344,Gaia DR3 4126197144531483136,4126197144531483136,254.07764219,-22.045428592,280116300082452.0,254.0762727,-22.0451519,280.0,16.0,3.0,zg,0.0,0.0,0.0,0.0,15.685,0.109,0.0,,0.0,0.0,0.0,0.0,,0.0
4,5,6.601413,89.205214,Gaia DR3 4126229541458375808,4126229541458375808,253.65997403,-21.879632848,279213400130711.0,253.6619499,-21.8796074,279.0,13.0,4.0,zr,125.0,123.0,130.0,128.0,15.076,0.144,1.120696e-06,25.8473,0.3200366,16.93482,0.2359056,15.50663,0.01353154,14.75213
5,6,7.802655,66.186302,Gaia DR3 1837262184608359296,1837262184608359296,302.63260888,28.434277199,640114400038802.0,302.6348638,28.4351523,640.0,14.0,4.0,zg,1.0,1.0,1.0,1.0,15.389,0.181,0.0,0.0,,15.92849,0.0,15.92849,0.0239296,15.92849
6,7,3.94524,-75.685668,Gaia DR3 4471638920295089024,4471638920295089024,272.73726863,5.7384880492,1532202200103047.0,272.7362014,5.738759,1532.0,2.0,2.0,zr,0.0,0.0,0.0,0.0,17.033,0.334,0.0,,0.0,0.0,0.0,0.0,,0.0
8,9,8.733389,58.302236,Gaia DR3 4469859876126747392,4469859876126747392,273.16816524,2.8128057189,486207300113425.0,273.1702318,2.8140804,486.0,7.0,3.0,zr,2.0,2.0,2.0,2.0,15.673,0.045,8.320147e-06,0.0,0.4718046,16.86946,0.0,16.53584,0.01619435,16.20223
9,10,5.750559,-53.394306,Gaia DR3 461506747202125696,461506747202125696,44.979910697,59.458546001,1812210300066877.0,44.9773872,59.4594985,1812.0,10.0,3.0,zr,0.0,0.0,0.0,0.0,17.348,0.154,0.0,,0.0,0.0,0.0,0.0,,0.0
11,12,7.345969,108.060171,Gaia DR3 462786406937073280,462786406937073280,47.577435185,59.524627757,809102200041643.0,47.5812603,59.5239951,809.0,2.0,2.0,zg,0.0,0.0,0.0,0.0,15.75,0.262,0.0,,0.0,0.0,0.0,0.0,,0.0
12,13,6.75969,81.64301,Gaia DR3 461398960703453824,461398960703453824,44.218134803,59.088927446,809103300043757.0,44.2217512,59.0892003,809.0,3.0,3.0,zg,1.0,1.0,2.0,2.0,16.117,0.068,0.0,0.0,,17.26403,0.0,17.26403,0.02592441,17.26403
