index,oid,ra,dec
0,256107200000916,81.0431903,-24.4890769
164,257211100055283,89.711552,-23.0050858
167,258114200028944,98.1375663,-21.0218366
176,259109100029245,107.7569945,-22.5305297
278,259111300039147,103.312404,-24.113989
279,259114300043726,104.9157618,-21.60405
282,259115400039701,104.3143658,-22.2028734
288,259207100056881,103.930283,-24.6787725
290,259209100075230,108.4534026,-22.9041818
293,259210400014686,106.5962247,-23.6071207
824,259215100060162,104.2317488,-21.099778
828,260106100026237,113.4470356,-24.4802045
948,260108100052665,109.5934718,-24.8532871
951,260108100052675,109.4043191,-24.8163061
954,260108100052693,109.7041636,-24.9487355
955,260108100052694,109.8060682,-24.9557925
958,260108200047497,108.9333143,-24.5663957
960,260109200053665,114.4205595,-22.6333508
961,260109300033228,114.525398,-23.9144495
1066,260109300052719,114.3236479,-23.7753985
1074,260110400044693,113.5093562,-23.5386873
1075,260111100038285,111.7507143,-23.0860378
1093,260111100038301,111.9318448,-22.859142
1101,260111300040500,110.9780896,-23.9319751
1102,260112100047905,109.4235836,-23.1831582
1103,260112400047018,109.1489561,-23.8252379
1155,260113100044798,115.1151232,-21.0282732
1156,260113100044910,115.5957365,-21.2316264
1160,260113300048444,114.7150607,-21.5000738
1162,260113300048580,114.6621023,-21.8743282
1163,260114200042996,112.3562503,-21.006529
1165,260114200043090,113.0307298,-20.5497951
1166,260114200043092,112.9651852,-20.9303649
1170,260114300004544,112.9666807,-21.5618002
1295,260114300041955,112.3686985,-21.8584998
1298,260114300041967,112.3472456,-21.8692064
1302,260114400038461,113.6212522,-21.6984735
1393,260114400047074,113.749585,-22.0919808
1396,260114400047117,113.9241301,-21.482427
1399,260115100050334,111.2528153,-21.0218203
1400,260115100050501,111.256859,-21.1571404
1401,260115100050728,111.5537832,-20.904565
1442,260115200019483,110.2244799,-21.1663439
1565,260115200049141,110.3024837,-21.1406364
1566,260115300048681,110.7751468,-21.6956872
1568,260115400048042,111.3360716,-21.9824254
1576,260116100013353,109.5145227,-21.0356304
1700,260116100047077,109.3184026,-20.5616899
1701,260116400045576,109.9130133,-21.8303234
1702,260205100085001,116.0119928,-24.5308111
1704,260209400024542,115.7242998,-23.6914263
1715,260210100045738,113.9462006,-22.8749204
1732,260210100073307,113.6478081,-22.8382179
1735,260211100068961,111.4406341,-22.8619278
1736,260211200038963,110.2375676,-22.4867125
1797,260212200006057,108.5005717,-22.5224731
2796,260212300081164,108.6738708,-23.4913171
2798,260212400042974,109.0359826,-23.4481446
2825,260213300077844,114.7634478,-21.8436498
2826,260213400077955,115.0777572,-21.3601747
2828,260214200011303,112.4369867,-20.7405941
3809,260214200067537,112.6287297,-21.0601997
3874,260214400014357,113.7734983,-21.6506287
4901,260214400079400,113.8093622,-21.6187283
4902,260215100051829,111.2737722,-21.0132478
4905,260215100068182,111.3035462,-21.0323648
4917,260215200079320,110.2174266,-21.3432755
4918,260215300077533,110.6200797,-21.7296384
4950,261108200051359,116.2889575,-24.6525639
4964,261110300049312,119.5898714,-24.0971927
4965,261111300049071,118.3596319,-23.8693951
5016,261111400050669,118.904939,-24.0583165
5017,261112300013687,115.9497469,-23.6923674
5129,261115300042551,118.1822864,-22.180385
5186,261116200044490,116.3024165,-20.8102651
5187,261208100055167,116.7831219,-24.5650377
5538,261208100061077,117.0726779,-24.5666152
5539,261208200031581,116.1656889,-24.3722284
5981,261209300054153,121.9910053,-23.3820237
5982,261212200019636,115.7520926,-22.9617068
6428,261212300014498,115.996415,-23.6523759
6873,261212400052824,117.0338638,-24.030355
7318,261213300050788,121.6116395,-22.036086
7319,261216100057195,116.694117,-20.831628
7331,261216300013511,115.8041401,-21.7206076
7774,261216300042379,116.1194419,-21.6115596
8210,262116400036916,124.1835836,-21.8802899
8211,271209200004605,195.2607469,-23.0217908
8318,276113400030701,232.1868841,-21.826613
8319,277212300041631,232.8186687,-23.3605573
8323,279213400130711,253.6618663,-21.8796182
8451,280110300027596,258.074634,-23.8053317
8552,282107200071180,271.2963844,-24.3986322
8555,282107200071182,271.240322,-24.6806945
8557,282110300084805,272.6340603,-23.9177651
8592,282111200076814,270.9808172,-22.8371939
8597,282112100055874,269.8568205,-22.4667464
8599,282112100055875,270.0005137,-22.5482302
8609,282112100055880,269.7362163,-22.5173287
8610,282114200077757,273.1694769,-20.9877478
8611,282115400047919,272.1893534,-22.1607879
8612,282206100065849,274.1241992,-24.5668052
8995,282206100194466,274.1123592,-24.9915923
8999,282207200152232,270.9662769,-24.3594217
9002,282207200152294,270.9888395,-24.3104204
9004,282209200188567,274.6035063,-22.7508143
9012,282210100192896,273.984124,-23.2335457
9059,282210200105186,273.3521364,-22.717861
9369,282311100190004,272.3076164,-22.7772645
9380,282311200166634,271.0548823,-22.5012575
9385,282311200166680,270.8264268,-22.8842393
9387,282311300160828,271.1744918,-23.4588935
9389,282314200037652,272.7270289,-21.2048905
9392,282314200153487,273.4523354,-21.0628852
9453,282314200183538,272.8494153,-20.7113317
9455,282314300180026,272.6340646,-22.2476487
9470,282315300149625,271.4609465,-22.2022444
9476,282315400126545,272.2673195,-21.4063921
9492,283112200003260,276.6025578,-22.4658391
9612,283116400016197,277.4882206,-21.6210613
9729,284111200002651,285.6105425,-22.4791399
9851,287208200010993,306.0489139,-24.9503827
9998,308110100001789,102.4692235,-15.3263009
10153,308114100039266,102.4215077,-13.9749619
10154,309101200016888,110.6247869,-19.5486713
10343,309101200049109,110.63767,-19.0285124
10344,309101300020948,110.6941847,-20.6580861
10532,309101400048594,110.8544426,-20.2291508
10536,309102300028129,108.6323088,-19.9910409
10544,309102400022502,109.4952434,-20.0060588
10654,309107100012876,107.6991839,-17.5750202
10845,309107100048756,107.6881719,-17.5816936
10846,309108100003989,105.8170033,-17.2797659
11039,309108100025740,105.6427761,-17.3721278
11062,309109200045518,110.606428,-15.5689746
11063,309111100047956,107.3969729,-15.2433802
11065,309113200044413,110.2836596,-13.3733532
11082,309201300024173,110.3796488,-20.5557614
11574,309201400056218,111.2372229,-20.1183088
11724,309201400063818,111.5408566,-20.1652364
