index,oid,ra,dec
0,256107200000916,81.0431903,-24.4890769
164,259109100004445,108.5003807,-22.522153
266,259109100029245,107.7569945,-22.5305297
368,259110400008990,106.5959923,-23.6068707
469,259209100007832,108.5004539,-22.5223573
1020,259210400014686,106.5962247,-23.6071207
1551,260106100026237,113.4470356,-24.4802045
1671,260109400013269,115.9962131,-23.6521343
1792,260109400014512,115.9495276,-23.6921662
1914,260112200003669,108.5005944,-22.5223508
2038,260114200006109,112.4368417,-20.7404478
2164,260114300004544,112.9666807,-21.5618002
2289,260114400008226,113.773259,-21.6504538
2415,260115200001380,110.3796672,-20.555725
2540,260115200019483,110.2244799,-21.1663439
2663,260115200026906,110.6944053,-20.6582578
2787,260116100013353,109.5145227,-21.0356304
2911,260212200006057,108.5005717,-22.5224731
3910,260214200011303,112.4369867,-20.7405941
4891,260214400014357,113.7734983,-21.6506287
5918,260215200002526,110.379663,-20.555822
6808,261112300013687,115.9497469,-23.6923674
6920,261208200031581,116.1656889,-24.3722284
7362,261212200019636,115.7520926,-22.9617068
7808,261212300014498,115.996415,-23.6523759
8253,261212300015950,115.9497582,-23.6924275
8698,261216300013511,115.8041401,-21.7206076
9141,271109200003367,195.2607218,-23.021774
9242,271209200004605,195.2607469,-23.0217908
9349,280110300027596,258.074634,-23.8053317
9450,280210300028312,258.0745923,-23.8053334
9984,283112200003260,276.6025578,-22.4658391
10104,283116400016197,277.4882206,-21.6210613
10221,284111200002651,285.6105425,-22.4791399
10343,287108200006873,306.0488984,-24.9503685
10496,287208200010993,306.0489139,-24.9503827
10643,308110100001789,102.4692235,-15.3263009
10798,309101200016888,110.6247869,-19.5486713
10987,309101300018020,110.3794688,-20.5555798
11176,309101300020948,110.6941847,-20.6580861
11364,309107100012876,107.6991839,-17.5750202
11555,309107100013307,107.7611331,-17.589092
11746,309108100003989,105.8170033,-17.2797659
11939,309111400008423,107.3348741,-16.3689114
12132,309114100006050,109.6169673,-13.5327603
12325,309114100028466,109.6699593,-13.9778238
12518,309115100017306,107.0035578,-13.9862163
12712,309201300024173,110.3796488,-20.5557614
13204,309201300028215,110.6943749,-20.6582663
13695,309207100018512,107.761183,-17.5891942
14197,309214100008297,109.6170758,-13.5328446
14705,309214100025109,109.6700542,-13.9778956
15213,309215100025218,107.003573,-13.986206
15722,309314100057261,109.6170773,-13.532889
15749,309315100032713,107.0035485,-13.9862418
15777,310103300026445,113.5737831,-20.290185
15949,310104400026134,112.4370313,-20.7405045
16124,310106400028797,116.5095854,-18.6917313
16296,310116400000349,112.7457539,-14.1764582
16463,310204400039771,112.4370047,-20.7405568
17040,310206400026040,116.5097005,-18.6919272
17615,310216400000432,112.7457002,-14.1765206
18179,311301200010003,124.0425782,-19.3906055
18202,311316100008033,119.4086716,-13.6063222
18225,322101200003199,201.8431506,-19.4537903
18354,322301200004840,201.8432428,-19.4539006
18378,330106200014438,256.2590075,-17.4894344
18530,330111400005097,255.2836311,-16.2343605
18682,330114400007280,257.0478104,-14.4441781
18833,330206200019978,256.2590185,-17.4894385
19474,330214400013475,257.04782,-14.4442018
20117,331101100031575,266.1062514,-19.6315542
20385,331107300071653,260.9832669,-18.3249972
20659,331108100022726,260.1661609,-17.4474621
20935,331108400030410,259.8144071,-18.5196279
21211,331109300012661,265.2501546,-16.3034635
21482,331112100053679,260.245278,-15.3669883
21760,331112400075164,260.2827373,-16.6410465
22036,331201100036744,266.1062526,-19.6315692
22748,331207300020741,260.9833044,-18.3250174
23471,331208400026722,259.8143943,-18.519623
24191,331209300015095,265.2501705,-16.3034737
24908,331212100010159,260.2452827,-15.3670042
25637,332104200035619,266.106219,-19.6315392
25807,332204200036702,266.1062324,-19.6315603
26269,332304200086705,266.1062459,-19.6315855
26438,333101200091282,278.6702197,-19.1254949
26464,333105200026347,279.1962642,-17.6305565
26664,333201200006750,278.6702526,-19.1254835
27078,333205200033716,279.1963027,-17.6305421
27810,334107400033539,283.3948944,-18.5622094
27992,334111300009452,282.6090936,-16.2596659
28175,334116200006632,280.5491408,-13.4532488
28359,334207400034609,283.3948576,-18.562177
29003,336112300018005,294.8437091,-16.6786578
29200,336212300049582,294.8437137,-16.6786359
29552,359101200003239,106.1173221,-12.0138284
29781,359101300008026,106.2650609,-13.0332114
30012,359101300008853,106.5685855,-13.0605504
30243,359101300010199,106.0462484,-13.1115018
30474,359116400018969,101.1849474,-7.633659
30705,359201300011640,106.2651901,-13.0333992
31058,359201300012813,106.568711,-13.0607473
31412,359201300014662,106.0463892,-13.1116733
31766,359216400024381,101.1849522,-7.6337454
32124,359316400031377,101.1849533,-7.6337167
32156,360102400003062,112.5031458,-12.8621674
32391,360103300021653,109.6170682,-13.5328515
32626,360108100000335,108.5754196,-9.9861212
32854,360112100011457,108.8028611,-8.516342
33086,360203300031498,109.6170595,-13.5329265
33790,360303300039375,109.6170579,-13.5329162
33818,384113200032508,282.8417472,-6.7145027
34078,384114400034281,282.0177317,-7.578511
34330,385111300006460,286.0956827,-9.0086316
34548,405316300005387,61.7229614,-0.435913
34566,409102400000107,94.6785212,-5.5657649
34808,409113300017741,95.0253029,0.0343796
34935,409202400000334,94.6786187,-5.5658669
35176,410101200016218,102.1024716,-5.4585661
35444,410101300004546,102.1542168,-5.7230855
35714,410102200018794,100.9597796,-5.302101
35983,410105200012877,102.6993728,-3.3025716
36249,410112400016747,97.6834619,-2.5434524
36444,410113200010829,102.3725791,0.5972856
36713,410115100006758,99.5571696,0.7366976
36981,410115100014199,99.7550606,0.4336778
37249,410201300006151,102.1543171,-5.7231875
37662,410202200023503,100.9598132,-5.3021949
38078,410213200015270,102.3726896,0.5971606
38495,410215100009708,99.5571603,0.7366653
38910,410301300009860,102.1543109,-5.7231972
38949,410313200020583,102.3726834,0.5971454
38988,411103200012913,105.7943859,-5.1489401
39257,411203200017022,105.7943786,-5.1490044
40019,411303200024317,105.7944217,-5.1490056
40051,414314400004887,130.1261635,-0.2125978
40080,431110100003696,249.9700512,-1.1627232
40299,431210100005015,249.9700591,-1.1627251
40639,436103100016683,284.1409978,-4.9663682
40978,436109100069037,287.9057156,-1.3661424
41320,436203100019926,284.141026,-4.9663793
42292,436303100017577,284.1410422,-4.9664084
42417,437112200033461,287.9057249,-1.3661422
42682,437113300016212,293.7218025,-0.0911475
42949,460115300013570,94.8177603,6.9055615
43242,460215300016879,94.8177463,6.905532
43698,460315300020491,94.8177711,6.9055077
43741,481105100012048,243.2192709,3.7927709
44030,481205100008072,243.219298,3.7927559
44476,481305100020460,243.2193017,3.7927566
44581,482116200005909,243.8474613,7.5065343
44859,482216200007048,243.847463,7.5065365
45276,482316200008417,243.8474799,7.5065415
45383,484105400012991,264.2617829,3.0604981
45750,484205400056698,264.2617946,3.0605079
46391,489115100056329,294.9728058,7.9539547
46676,489215100022615,294.9728175,7.953934
47606,511109400034560,88.8101067,12.1334786
47899,511115300001983,84.6025507,14.4439836
48192,513103400023639,98.7768925,8.7151794
48500,513203400027068,98.7769224,8.7151446
49474,513303400006624,98.7769279,8.7151247
49515,536104100012857,261.7038197,8.9569838
49937,536116400008555,261.6397017,13.9424256
50357,536204100018029,261.7038164,8.9569584
51165,536216400011586,261.6397133,13.9423803
52009,537102400018530,272.4133924,8.3901224
52383,537111400002074,270.6273525,12.633096
52758,537113400033795,273.905636,14.0981566
53132,537202400023805,272.4136177,8.3902392
53958,537211400002766,270.6273735,12.6331877
54789,537213400021265,273.9056022,14.0982213
55621,539108100004467,282.6397268,11.5872916
56105,539111200039047,283.4124256,12.8515064
56588,539211200112153,283.4123994,12.8515812
57562,539311200045699,283.4124677,12.8515234
57724,540102300003755,292.7832153,8.8182603
58225,540110400034072,293.4110671,12.1535867
58729,540202300004882,292.7832358,8.8182642
59748,540210400035151,293.411077,12.1535757
60750,540302300056566,292.7832492,8.8182372
60910,540310400034326,293.4110905,12.153567
60993,541110200007164,299.4625603,13.4398751
61314,541116400005830,296.8150537,14.5233625
61630,541210200008945,299.4625886,13.4398641
62486,541215100000111,298.4489494,15.5106161
62684,541216400006291,296.815072,14.5233428
63524,543102300005116,313.5203257,8.5515424
63919,543302300006990,313.5202659,8.5515552
64028,560106200006789,74.2287707,18.0964686
64337,560110400006725,75.1121858,19.1850554
64646,560206200009973,74.2288338,18.0964156
65055,560210400011189,75.1122689,19.1849778
65461,562113100009874,91.8607727,22.0967468
65787,563116200008897,91.8608715,22.0966447
66124,563216200040107,91.8611691,22.0964955
66855,564303200026100,101.5484187,16.1339596
66887,565301100011868,113.0178492,16.2591342
66916,585105300004117,255.0685433,17.5610728
67439,586116200004324,256.6923298,22.0978618
67837,586216200015844,256.6923214,22.0978102
68469,586316200007616,256.6923148,22.0978498
68642,587113400008148,270.3644331,21.2470638
69424,587213400011734,270.3644418,21.2470626
70412,587301400046261,270.7508888,15.2350076
70496,587313400014348,270.3644552,21.2470882
70585,589105400066047,285.0705268,17.2439508
70930,589115200021391,279.8796346,22.0351786
71279,589215200028798,279.8796497,22.035202
72079,590108100029672,286.1609775,18.3537644
72635,590111400091233,288.330699,19.3968185
73188,590112300047641,285.7165477,19.7309551
73741,590208100070767,286.1609338,18.3538537
74644,590212300098491,285.7165227,19.7310649
75555,590308100030363,286.1609896,18.3537342
75714,591101300033736,298.4489421,15.5106085
76259,591103300015747,294.9833892,15.8096591
76801,591106200004264,297.0853243,18.787206
77332,591109300109488,299.0096801,19.1730518
77877,591113100021421,300.000032,22.2479335
78421,591201300035254,298.4489568,15.5105945
79364,591203300014867,294.9833997,15.8096298
80302,591213100022528,299.9999912,22.2479774
81255,591301300035246,298.4489762,15.510583
81414,591303300015236,294.9834125,15.8096368
81573,591306200055829,297.085346,18.7871564
81696,591313100023050,300.0000342,22.2479051
81855,592104100033427,300.8222155,16.3119517
82239,592114200023369,304.2483471,22.1530513
82620,592116200023681,300.0000169,22.2479251
83002,592204100039710,300.8222187,16.3119413
83989,592214200029479,304.2483526,22.1530324
84972,592216200065987,300.0000146,22.2479286
85954,592316200076244,300.0000531,22.2478992
85969,593108300011271,307.3437731,17.6511572
86387,593208300013052,307.3437826,17.6511574
87319,593308300013841,307.3437642,17.6511922
87433,594313300009299,320.004629,21.4015751
87546,612115300008622,89.9494883,28.6437415
87868,617315200005774,127.0926417,29.8587864
87903,628315400001430,209.9995815,28.9062701
88020,633106300000199,248.7681114,25.1634035
88841,633206300009494,248.7681244,25.1633653
89729,633306300000348,248.7681333,25.1633982
89858,634108100003674,253.2637654,25.4908188
90947,634208100007708,253.2637612,25.4907929
92016,634308100008851,253.2637682,25.4908164
92201,634313300001062,258.8204399,28.9136732
92381,636209400008847,274.875156,26.7041397
93143,637105100002081,282.2683374,25.9426767
93620,637111100002311,277.9357128,27.8653211
94104,637112300006320,274.8751294,26.7041865
94584,637205100002900,282.2683446,25.9426361
95308,637212300010167,274.875155,26.7040963
96169,638108200003032,282.2683157,25.9426492
96524,638110400042098,287.5708141,26.9732433
96880,638115400023343,285.4539033,28.3705862
97237,638208200003870,282.2683001,25.9427059
98146,638210400053044,287.5708435,26.9733399
99056,638215400025998,285.45389,28.3706455
99960,639107300032275,292.120723,24.6235177
100544,639110300009661,294.1308643,26.9419987
101125,639110300039364,293.7808708,26.4537472
101706,639113200020560,296.2802871,29.4569839
102276,639113200024496,295.786677,29.3944814
102847,639210300057693,294.1308947,26.9420134
103696,639213200021208,296.28031,29.4569817
104542,639313200020731,296.280326,29.456964
104711,640109400015823,304.7627342,26.7282436
105295,640209400019006,304.7627778,26.7283265
106373,641108100031391,305.7462478,25.4454213
106817,641112300017335,304.7627409,26.7282308
107260,641208100062512,305.7463105,25.4454012
108515,641212300019554,304.7627503,26.7282405
109764,643113200004033,325.8041524,29.5586965
110691,643213200006469,325.8041791,29.558704
111840,643313200006249,325.8041596,29.5587267
112047,656106300008327,63.5442314,31.6691885
112406,659101200009526,88.6180504,30.8994314
112745,659106200023223,86.395497,32.8208052
113086,660104300043874,90.683525,30.1265682
113088,675112100001354,209.150818,34.8258559
113647,675212100002906,209.1508202,34.825852
114257,675312100003199,209.1508127,34.8258361
114470,681307400012489,258.6057048,31.5834933
114665,681314300011045,259.1943631,35.5458745
114867,683105400013059,278.48915,31.6400883
115835,684108300020415,278.48919,31.6400435
116800,684111100005860,281.9467192,34.8923519
117757,684208300027913,278.4891254,31.6400821
118927,684211100029024,281.9467994,34.8923368
120102,684311100029535,281.946781,34.8923306
120189,685101400008532,293.9807016,30.2783518
120623,685101400012066,294.3884071,30.203856
121057,685201400014227,294.3885445,30.203912
121918,685201400057147,293.980861,30.2784148
122780,686104300013030,294.3883889,30.2038464
123395,686104400028026,295.1581431,29.9775052
124007,686104400066923,295.7732805,30.0132412
124621,686110300011075,299.3256331,34.1009339
125253,686112100017724,295.7864305,34.8379381
125882,686114100024172,299.6690316,36.6708722
126510,686114300009452,298.7499904,36.0442725
127142,686114400033215,299.7621154,35.6026879
127775,686204300012584,294.3883689,30.2038582
128635,686204400025141,295.7732135,30.01323
129480,686204400026444,295.1581019,29.9775162
130325,686210300056235,299.3256576,34.1009456
131212,686212100018933,295.786423,34.8379494
132098,686214100101762,299.6690373,36.6709103
132969,686214300050990,298.7499709,36.0443206
133839,686214400032666,299.7620984,35.6026943
134728,686304300012405,294.3884093,30.2038306
134888,686304400025839,295.773106,30.0132568
135041,686304400076122,295.1580327,29.9775346
135194,686310300061574,299.3256769,34.1009393
135354,686312100067646,295.7864354,34.8379944
135516,686314100145853,299.6690377,36.670883
135678,686314300008593,298.7499962,36.0442726
135837,686314400031644,299.7621136,35.6026883
135998,688108100006746,310.5518211,33.0915403
136058,688111200004791,311.8917413,35.0803841
136545,688114200013880,314.5663029,36.7780159
137028,688214200017185,314.5663511,36.7779858
138165,689111200022956,320.2151907,34.3479492
138595,689211200031078,320.2151838,34.3479309
139591,690106400010093,331.203019,31.567202
140104,690206400016892,331.2031068,31.5671822
140883,692314100015897,346.3399442,36.9175556
140978,698308100001059,34.1989275,40.3267625
141035,702109400005210,76.3469309,41.1654407
141443,703106400007193,82.0926477,39.1772765
141835,712301100003955,162.3037954,38.0041644
141901,713304200004529,162.3037718,38.0041656
141970,725106100002399,271.4962756,40.2195123
143055,725305100014920,273.8046298,39.709437
143168,726105200011461,281.1648118,39.6487589
144282,726114100003140,280.0972918,43.9390853
145403,726116100004502,275.4198109,43.7024409
146512,726205200017178,281.1648158,39.6487921
147813,726214100005429,280.097282,43.9391682
149116,726216100017270,275.4197981,43.7024707
150399,726305200034904,281.1648726,39.6487112
150477,726308200027283,273.8046117,39.7094158
150555,726314100007753,280.097316,43.9390923
150633,726316100010546,275.4198446,43.7024485
150711,727111400009360,286.2541093,41.0315272
151166,727211400015085,286.2541603,41.0316293
152122,728101300026789,298.9893157,37.1862159
152618,728109200005292,298.8906989,42.2098828
153120,728113300031830,298.7854806,42.6501971
153618,728201100075272,299.8458883,37.8040524
154497,728201300029128,298.989502,37.1862518
155374,728209200006628,298.8907403,42.2099219
156262,728213300057578,298.7854967,42.6502456
157144,729104200035382,299.8457332,37.803978
157829,729111300017884,302.3352607,41.1738025
158516,729304200146498,299.8457453,37.8039706
158679,730106300050685,313.5133704,39.0127016
159327,730206300034215,313.5133746,39.0127039
160185,730302400103729,314.5663949,36.7779681
160270,731114400049287,323.5114508,43.0162978
160784,763103100000009,262.8524093,45.7476259
161208,763203100013585,262.8524457,45.7475837
161661,764206100001744,274.5464587,47.5237279
162346,764306100002050,274.5465147,47.5236639
162398,766101200001478,295.5009662,45.6611088
163319,766105200022639,296.0597393,46.8025175
164281,766201200031020,295.5011055,45.6610458
165497,766205200027266,296.0599861,46.8023367
166765,766301200001311,295.5011354,45.6609988
166858,766305200033337,296.0599441,46.802379
166954,767112400001845,299.0046108,48.6053437
167435,767114100022820,303.9842284,50.8201079
167595,767212400002031,299.0046449,48.6054406
168569,767214100029484,303.9842575,50.8201382
169066,768105400007544,317.2198513,46.5490307
169790,768105400011376,316.9846464,46.4880721
170513,768105400026740,316.4164599,46.2347575
171225,768305400053955,317.0507978,45.8134935
171340,769105300001360,325.2599383,46.717204
172010,769106300045005,322.9223987,46.5730687
172731,769108100079423,318.0091228,46.9852123
173057,769108300010364,316.9846521,46.4880594
173770,769108300044193,317.2199067,46.5489911
174484,769111400021670,321.2359702,48.2079661
175198,769113100019166,327.5231401,50.7068608
175912,769205300001221,325.2599657,46.7172108
177312,769206300011505,322.922428,46.573064
178765,769306300011354,322.9224288,46.5730631
178915,770103300030054,330.4589759,44.3153615
179480,770115300029844,329.7935897,49.9972917
180040,770115300048564,330.4266122,50.1386091
180601,770116200019361,327.5231465,50.7068964
181160,770203300022460,330.458999,44.3153391
182096,770215300026652,330.4266992,50.1385545
183021,770303300052991,330.4590001,44.3153279
183072,771204100045394,338.3888002,45.0994734
184253,792115100001462,211.899387,58.346042
185298,792215100021219,211.8993803,58.3460623
186397,792315100003320,211.8993962,58.346069
186767,793107300003992,221.6633045,53.1573361
187900,793207300015550,221.6633027,53.1573019
188946,793307300017048,221.663153,53.157362
189278,799113200015895,295.7273735,58.0521778
189941,799213200010319,295.7273917,58.0522204
