index,oid,ra,dec,designation_01
0,256107200000916,81.0431903,-24.4890769,Gaia DR3 2957941232276476800
164,257211100055283,89.711552,-23.0050858,Gaia DR3 2916526202670553216
167,258114200028944,98.1375663,-21.0218366,Gaia DR3 2938728293073843456
176,259109100029245,107.7569945,-22.5305297,Gaia DR3 2927999365998649728
278,259111300039147,103.312404,-24.113989,Gaia DR3 2921988297259486080
279,259114300043726,104.9157618,-21.60405,Gaia DR3 2928869629451140352
282,259115400039701,104.3143658,-22.2028734,Gaia DR3 2928822384809969024
288,259207100056881,103.930283,-24.6787725,Gaia DR3 2921896045660518656
290,259209100075230,108.4534026,-22.9041818,Gaia DR3 2927919754482160000
293,259210400014686,106.5962247,-23.6071207,Gaia DR3 2927469263952955008
824,259215100060162,104.2317488,-21.099778,Gaia DR3 2931959669439162112
828,260106100026237,113.4470356,-24.4802045,Gaia DR3 5615210766444025472
948,260108100052665,109.5934718,-24.8532871,Gaia DR3 5616547355957903488
951,260108100052675,109.4043191,-24.8163061,Gaia DR3 5617293138386720768
954,260108100052693,109.7041636,-24.9487355,Gaia DR3 5616531142471195264
955,260108100052694,109.8060682,-24.9557925,Gaia DR3 5616530558355526144
958,260108200047497,108.9333143,-24.5663957,Gaia DR3 5617362094073643136
960,260109200053665,114.4205595,-22.6333508,Gaia DR3 5618854376177096320
961,260109300033228,114.525398,-23.9144495,Gaia DR3 5615333293270581376
1066,260109300052719,114.3236479,-23.7753985,Gaia DR3 5615350748017761920
1074,260110400044693,113.5093562,-23.5386873,Gaia DR3 5618418041861994752
1075,260111100038285,111.7507143,-23.0860378,Gaia DR3 5618635367207942400
1093,260111100038301,111.9318448,-22.859142,Gaia DR3 5618656704605269376
1101,260111300040500,110.9780896,-23.9319751,Gaia DR3 5617057258781886464
1102,260112100047905,109.4235836,-23.1831582,Gaia DR3 5618023244159264512
1103,260112400047018,109.1489561,-23.8252379,Gaia DR3 5617774277802538880
1155,260113100044798,115.1151232,-21.0282732,Gaia DR3 5715197948691643776
1156,260113100044910,115.5957365,-21.2316264,Gaia DR3 5715134726771031936
1160,260113300048444,114.7150607,-21.5000738,Gaia DR3 5619080222739376896
1162,260113300048580,114.6621023,-21.8743282,Gaia DR3 5619053181625683712
1163,260114200042996,112.3562503,-21.006529,Gaia DR3 5620059750159509760
1165,260114200043090,113.0307298,-20.5497951,Gaia DR3 5620193375183425024
1166,260114200043092,112.9651852,-20.9303649,Gaia DR3 5620142935086566528
1170,260114300004544,112.9666807,-21.5618002,Gaia DR3 5619967391181281792
1295,260114300041955,112.3686985,-21.8584998,Gaia DR3 5619935299184790528
1298,260114300041967,112.3472456,-21.8692064,Gaia DR3 5619935161745848064
1302,260114400038461,113.6212522,-21.6984735,Gaia DR3 5619249032132172160
1393,260114400047074,113.749585,-22.0919808,Gaia DR3 5619129872558570240
1396,260114400047117,113.9241301,-21.482427,Gaia DR3 5619259129589602432
1399,260115100050334,111.2528153,-21.0218203,Gaia DR3 5619909903038471296
1400,260115100050501,111.256859,-21.1571404,Gaia DR3 5619903482072419712
1401,260115100050728,111.5537832,-20.904565,Gaia DR3 5620284256691515648
1442,260115200019483,110.2244799,-21.1663439,Gaia DR3 2929750338261632896
1565,260115200049141,110.3024837,-21.1406364,Gaia DR3 2929750613144283520
1566,260115300048681,110.7751468,-21.6956872,Gaia DR3 5619812050805288192
1568,260115400048042,111.3360716,-21.9824254,Gaia DR3 5619599329664097536
1576,260116100013353,109.5145227,-21.0356304,Gaia DR3 2929721403060975232
1700,260116100047077,109.3184026,-20.5616899,Gaia DR3 2929941275327270400
1701,260116400045576,109.9130133,-21.8303234,Gaia DR3 5619750684311639552
1702,260205100085001,116.0119928,-24.5308111,Gaia DR3 5614688562831198464
1704,260209400024542,115.7242998,-23.6914263,Gaia DR3 5615588792283468032
1715,260210100045738,113.9462006,-22.8749204,Gaia DR3 5618830938529133056
1732,260210100073307,113.6478081,-22.8382179,Gaia DR3 5618876572569419392
1735,260211100068961,111.4406341,-22.8619278,Gaia DR3 5619403685313433216
1736,260211200038963,110.2375676,-22.4867125,Gaia DR3 5619653789848010240
1797,260212200006057,108.5005717,-22.5224731,Gaia DR3 2927969881041212672
2796,260212300081164,108.6738708,-23.4913171,Gaia DR3 5618032834835824640
2798,260212400042974,109.0359826,-23.4481446,Gaia DR3 5617989266685365120
2825,260213300077844,114.7634478,-21.8436498,Gaia DR3 5619052769308753664
2826,260213400077955,115.0777572,-21.3601747,Gaia DR3 5715152525116273792
2828,260214200011303,112.4369867,-20.7405941,Gaia DR3 5620257902771084928
3809,260214200067537,112.6287297,-21.0601997,Gaia DR3 5620048995562578944
3874,260214400014357,113.7734983,-21.6506287,Gaia DR3 5619250440881257856
4901,260214400079400,113.8093622,-21.6187283,Gaia DR3 5619250612679878016
4902,260215100051829,111.2737722,-21.0132478,Gaia DR3 5619910010422265216
4905,260215100068182,111.3035462,-21.0323648,Gaia DR3 5619906810662019840
4917,260215200079320,110.2174266,-21.3432755,Gaia DR3 2929642242523997440
4918,260215300077533,110.6200797,-21.7296384,Gaia DR3 5619765562079332608
4950,261108200051359,116.2889575,-24.6525639,Gaia DR3 5614636782708944384
4964,261110300049312,119.5898714,-24.0971927,Gaia DR3 5698632225468426752
4965,261111300049071,118.3596319,-23.8693951,Gaia DR3 5710624697566129152
5016,261111400050669,118.904939,-24.0583165,Gaia DR3 5698600167837572608
5017,261112300013687,115.9497469,-23.6923674,Gaia DR3 5615586455821106560
5129,261115300042551,118.1822864,-22.180385,Gaia DR3 5711121990367188352
5186,261116200044490,116.3024165,-20.8102651,Gaia DR3 5715251927837990016
5187,261208100055167,116.7831219,-24.5650377,Gaia DR3 5614535013472397696
5538,261208100061077,117.0726779,-24.5666152,Gaia DR3 5614537796611422592
5539,261208200031581,116.1656889,-24.3722284,Gaia DR3 5614697049696235648
5981,261209300054153,121.9910053,-23.3820237,Gaia DR3 5698926550986018816
5982,261212200019636,115.7520926,-22.9617068,Gaia DR3 5615695822871551232
6428,261212300014498,115.996415,-23.6523759,Gaia DR3 5615587005576857600
6873,261212400052824,117.0338638,-24.030355,Gaia DR3 5614765429873949440
7318,261213300050788,121.6116395,-22.036086,Gaia DR3 5700794655602399232
7319,261216100057195,116.694117,-20.831628,Gaia DR3 5712252219596314368
7331,261216300013511,115.8041401,-21.7206076,Gaia DR3 5712099829855518976
7774,261216300042379,116.1194419,-21.6115596,Gaia DR3 5712094130448056704
8210,262116400036916,124.1835836,-21.8802899,Gaia DR3 5700249194753570176
8211,271209200004605,195.2607469,-23.0217908,Gaia DR3 3504948988644994432
8318,276113400030701,232.1868841,-21.826613,Gaia DR3 6251990550540815360
8319,277212300041631,232.8186687,-23.3605573,Gaia DR3 6239513296886749184
8323,279213400130711,253.6618663,-21.8796182,Gaia DR3 4126229541458375808
8451,280110300027596,258.074634,-23.8053317,Gaia DR3 4114323346694071168
8552,282107200071180,271.2963844,-24.3986322,Gaia DR3 4066064956700837248
8555,282107200071182,271.240322,-24.6806945,Gaia DR3 4065951702680209664
8557,282110300084805,272.6340603,-23.9177651,Gaia DR3 4066273692137513728
8592,282111200076814,270.9808172,-22.8371939,Gaia DR3 4069640809027438336
8597,282112100055874,269.8568205,-22.4667464,Gaia DR3 4069547797210386816
8599,282112100055875,270.0005137,-22.5482302,Gaia DR3 4069531888651307776
8609,282112100055880,269.7362163,-22.5173287,Gaia DR3 4069523951550440832
8610,282114200077757,273.1694769,-20.9877478,Gaia DR3 4093983687250148096
8611,282115400047919,272.1893534,-22.1607879,Gaia DR3 4069736260374014080
8612,282206100065849,274.1241992,-24.5668052,Gaia DR3 4065391334087098624
8995,282206100194466,274.1123592,-24.9915923,Gaia DR3 4065187271607888512
8999,282207200152232,270.9662769,-24.3594217,Gaia DR3 4066022591147527552
9002,282207200152294,270.9888395,-24.3104204,Gaia DR3 4066023415781257984
9004,282209200188567,274.6035063,-22.7508143,Gaia DR3 4090437006352793344
9012,282210100192896,273.984124,-23.2335457,Gaia DR3 4066380241730432768
9059,282210200105186,273.3521364,-22.717861,Gaia DR3 4066655497563813888
9369,282311100190004,272.3076164,-22.7772645,Gaia DR3 4066697931845404544
9380,282311200166634,271.0548823,-22.5012575,Gaia DR3 4069668567378351616
9385,282311200166680,270.8264268,-22.8842393,Gaia DR3 4069265566322069760
9387,282311300160828,271.1744918,-23.4588935,Gaia DR3 4069181415007867776
9389,282314200037652,272.7270289,-21.2048905,Gaia DR3 4093883666052379648
9392,282314200153487,273.4523354,-21.0628852,Gaia DR3 4093933448976732160
9453,282314200183538,272.8494153,-20.7113317,Gaia DR3 4094006776994663936
9455,282314300180026,272.6340646,-22.2476487,Gaia DR3 4066741190760214016
9470,282315300149625,271.4609465,-22.2022444,Gaia DR3 4069700491895153408
9476,282315400126545,272.2673195,-21.4063921,Gaia DR3 4093862156853406336
9492,283112200003260,276.6025578,-22.4658391,Gaia DR3 4089934422106291840
9612,283116400016197,277.4882206,-21.6210613,Gaia DR3 4090103334581511296
9729,284111200002651,285.6105425,-22.4791399,Gaia DR3 4081495910878906752
9851,287208200010993,306.0489139,-24.9503827,Gaia DR3 6849002313335584000
9998,308110100001789,102.4692235,-15.3263009,Gaia DR3 2948757316587127936
10153,308114100039266,102.4215077,-13.9749619,Gaia DR3 2949228457319524608
10154,309101200016888,110.6247869,-19.5486713,Gaia DR3 2930489519314499072
10343,309101200049109,110.63767,-19.0285124,Gaia DR3 2930651796055307392
10344,309101300020948,110.6941847,-20.6580861,Gaia DR3 2929795383879276544
10532,309101400048594,110.8544426,-20.2291508,Gaia DR3 2930228866344200448
10536,309102300028129,108.6323088,-19.9910409,Gaia DR3 2930780786815632256
10544,309102400022502,109.4952434,-20.0060588,Gaia DR3 2930101254270740224
10654,309107100012876,107.6991839,-17.5750202,Gaia DR3 2934751329460841088
10845,309107100048756,107.6881719,-17.5816936,Gaia DR3 2934751398180325376
10846,309108100003989,105.8170033,-17.2797659,Gaia DR3 2935291391527731840
11039,309108100025740,105.6427761,-17.3721278,Gaia DR3 2935335822970898816
11062,309109200045518,110.606428,-15.5689746,Gaia DR3 3031130464302537344
11063,309111100047956,107.3969729,-15.2433802,Gaia DR3 2936250204326188800
11065,309113200044413,110.2836596,-13.3733532,Gaia DR3 3032784851342772608
11082,309201300024173,110.3796488,-20.5557614,Gaia DR3 2929844513999140608
11574,309201400056218,111.2372229,-20.1183088,Gaia DR3 2930212369359294976
11724,309201400063818,111.5408566,-20.1652364,Gaia DR3 2930202924742486272
11725,309201400063870,111.4293384,-20.515248,Gaia DR3 5620315455333837568
11734,309202400061943,109.6783058,-19.9518432,Gaia DR3 2930124447095261312
11735,309206100052990,109.6196258,-17.1898573,Gaia DR3 2931836008736734592
11737,309211200063377,106.0489306,-15.3284319,Gaia DR3 2936195984660163328
11738,309212300055420,104.9423347,-16.2003511,Gaia DR3 2935739893492216192
11739,309213200056869,110.4705717,-13.3725574,Gaia DR3 3032782480520722048
11740,309214100025109,109.6700542,-13.9778956,Gaia DR3 3032644697970894208
12248,309214200058992,108.7389664,-13.6989896,Gaia DR3 3032535365282867968
12249,309215100025218,107.003573,-13.986206,Gaia DR3 3044463004858930560
12758,309305200080851,110.7464807,-17.9525049,Gaia DR3 2931491071326131712
12760,310103100042101,113.955148,-19.7827351,Gaia DR3 5716314090431804800
12761,310103300026445,113.5737831,-20.290185,Gaia DR3 5716266089876304896
12933,310103400045830,114.1044727,-20.2108792,Gaia DR3 5716246848422026752
12956,310107200039270,113.2343301,-17.2251888,Gaia DR3 3027289938905358976
12957,310108300043527,111.5023483,-18.138264,Gaia DR3 3026797941812222720
12959,310108300043534,111.9064248,-18.4966376,Gaia DR3 3026715409721235968
12960,310110300045014,115.4033749,-16.2961257,Gaia DR3 3028729680663476224
12961,310111300022015,113.746493,-16.2396844,Gaia DR3 3027491561852209664
