index,oid,ra,dec,designation_01
0,256107200000916,81.0431903,-24.4890769,Gaia DR3 2957941232276476800
164,259109100004445,108.5003807,-22.522153,Gaia DR3 2927969881041212672
266,259109100029245,107.7569945,-22.5305297,Gaia DR3 2927999365998649728
368,259110400008990,106.5959923,-23.6068707,Gaia DR3 2927469263952955008
469,259209100007832,108.5004539,-22.5223573,Gaia DR3 2927969881041212672
1020,259210400014686,106.5962247,-23.6071207,Gaia DR3 2927469263952955008
1551,260106100026237,113.4470356,-24.4802045,Gaia DR3 5615210766444025472
1671,260109400013269,115.9962131,-23.6521343,Gaia DR3 5615587005576857600
1792,260109400014512,115.9495276,-23.6921662,Gaia DR3 5615586455821106560
1914,260112200003669,108.5005944,-22.5223508,Gaia DR3 2927969881041212672
2038,260114200006109,112.4368417,-20.7404478,Gaia DR3 5620257902771084928
2164,260114300004544,112.9666807,-21.5618002,Gaia DR3 5619967391181281792
2289,260114400008226,113.773259,-21.6504538,Gaia DR3 5619250440881257856
2415,260115200001380,110.3796672,-20.555725,Gaia DR3 2929844513999140608
2540,260115200019483,110.2244799,-21.1663439,Gaia DR3 2929750338261632896
2663,260115200026906,110.6944053,-20.6582578,Gaia DR3 2929795383879276544
2787,260116100013353,109.5145227,-21.0356304,Gaia DR3 2929721403060975232
2911,260212200006057,108.5005717,-22.5224731,Gaia DR3 2927969881041212672
3910,260214200011303,112.4369867,-20.7405941,Gaia DR3 5620257902771084928
4891,260214400014357,113.7734983,-21.6506287,Gaia DR3 5619250440881257856
5918,260215200002526,110.379663,-20.555822,Gaia DR3 2929844513999140608
6808,261112300013687,115.9497469,-23.6923674,Gaia DR3 5615586455821106560
6920,261208200031581,116.1656889,-24.3722284,Gaia DR3 5614697049696235648
7362,261212200019636,115.7520926,-22.9617068,Gaia DR3 5615695822871551232
7808,261212300014498,115.996415,-23.6523759,Gaia DR3 5615587005576857600
8253,261212300015950,115.9497582,-23.6924275,Gaia DR3 5615586455821106560
8698,261216300013511,115.8041401,-21.7206076,Gaia DR3 5712099829855518976
9141,271109200003367,195.2607218,-23.021774,Gaia DR3 3504948988644994432
9242,271209200004605,195.2607469,-23.0217908,Gaia DR3 3504948988644994432
9349,280110300027596,258.074634,-23.8053317,Gaia DR3 4114323346694071168
9450,280210300028312,258.0745923,-23.8053334,Gaia DR3 4114323346694071168
9984,283112200003260,276.6025578,-22.4658391,Gaia DR3 4089934422106291840
10104,283116400016197,277.4882206,-21.6210613,Gaia DR3 4090103334581511296
10221,284111200002651,285.6105425,-22.4791399,Gaia DR3 4081495910878906752
10343,287108200006873,306.0488984,-24.9503685,Gaia DR3 6849002313335584000
10496,287208200010993,306.0489139,-24.9503827,Gaia DR3 6849002313335584000
10643,308110100001789,102.4692235,-15.3263009,Gaia DR3 2948757316587127936
10798,309101200016888,110.6247869,-19.5486713,Gaia DR3 2930489519314499072
10987,309101300018020,110.3794688,-20.5555798,Gaia DR3 2929844513999140608
11176,309101300020948,110.6941847,-20.6580861,Gaia DR3 2929795383879276544
11364,309107100012876,107.6991839,-17.5750202,Gaia DR3 2934751329460841088
11555,309107100013307,107.7611331,-17.589092,Gaia DR3 2934748237084371584
11746,309108100003989,105.8170033,-17.2797659,Gaia DR3 2935291391527731840
11939,309111400008423,107.3348741,-16.3689114,Gaia DR3 2935832626121938944
12132,309114100006050,109.6169673,-13.5327603,Gaia DR3 3032738431339708800
12325,309114100028466,109.6699593,-13.9778238,Gaia DR3 3032644697970894208
12518,309115100017306,107.0035578,-13.9862163,Gaia DR3 3044463004858930560
12712,309201300024173,110.3796488,-20.5557614,Gaia DR3 2929844513999140608
13204,309201300028215,110.6943749,-20.6582663,Gaia DR3 2929795383879276544
13695,309207100018512,107.761183,-17.5891942,Gaia DR3 2934748237084371584
14197,309214100008297,109.6170758,-13.5328446,Gaia DR3 3032738431339708800
14705,309214100025109,109.6700542,-13.9778956,Gaia DR3 3032644697970894208
15213,309215100025218,107.003573,-13.986206,Gaia DR3 3044463004858930560
15722,309314100057261,109.6170773,-13.532889,Gaia DR3 3032738431339708800
15749,309315100032713,107.0035485,-13.9862418,Gaia DR3 3044463004858930560
15777,310103300026445,113.5737831,-20.290185,Gaia DR3 5716266089876304896
15949,310104400026134,112.4370313,-20.7405045,Gaia DR3 5620257902771084928
16124,310106400028797,116.5095854,-18.6917313,Gaia DR3 5716152702738634496
16296,310116400000349,112.7457539,-14.1764582,Gaia DR3 3033186585406814080
16463,310204400039771,112.4370047,-20.7405568,Gaia DR3 5620257902771084928
