designation|source_id|ra|dec
Gaia DR3 2263638568916884096|2263638568916884096|297.57873582|71.364333009
Gaia DR3 2270570062017774976|2270570062017774976|320.93731562|69.534391082
Gaia DR3 4126197144531483136|4126197144531483136|254.07764219|-22.045428592
Gaia DR3 4126229541458375808|4126229541458375808|253.65997403|-21.879632848
Gaia DR3 1837262184608359296|1837262184608359296|302.63260888|28.434277199
Gaia DR3 4471638920295089024|4471638920295089024|272.73726863|5.7384880492
Gaia DR3 4469859876126747392|4469859876126747392|273.16816524|2.8128057189
Gaia DR3 461506747202125696|461506747202125696|44.979910697|59.458546001
Gaia DR3 462786406937073280|462786406937073280|47.577435185|59.524627757
Gaia DR3 461398960703453824|461398960703453824|44.218134803|59.088927446
Gaia DR3 461431705533750912|461431705533750912|43.012821436|58.972899092
Gaia DR3 462485965385240832|462485965385240832|50.223211602|60.030354113
Gaia DR3 461471150513579904|461471150513579904|43.902810128|59.411156214
Gaia DR3 462212874184574720|462212874184574720|51.449863866|59.432462415
Gaia DR3 2012871852470504960|2012871852470504960|357.09247421|61.793717281
Gaia DR3 2012880373685136896|2012880373685136896|356.51980118|61.783483127
Gaia DR3 2012483690499877888|2012483690499877888|353.40819484|61.079865082
Gaia DR3 2012489630431063552|2012489630431063552|353.92287044|61.1886946
Gaia DR3 2013043097102209280|2013043097102209280|357.62885931|62.43821474
Gaia DR3 2012885871243217536|2012885871243217536|356.49732841|61.920324778
Gaia DR3 2012889341577135872|2012889341577135872|357.12508502|61.988748619
Gaia DR3 2013046537382879616|2013046537382879616|357.99359207|62.59623365
Gaia DR3 2012896557122014080|2012896557122014080|357.47128496|62.214080328
Gaia DR3 2012912946718431232|2012912946718431232|356.12995637|61.986857153
Gaia DR3 2012918272480159616|2012918272480159616|355.73899847|61.912015543
Gaia DR3 2012927309088937728|2012927309088937728|356.39407093|62.146565977
Gaia DR3 2012930332745761408|2012930332745761408|355.94745438|62.164808941
Gaia DR3 2012933420816045056|2012933420816045056|356.50174213|61.991003325
Gaia DR3 2012943247697381632|2012943247697381632|357.14951646|62.245971348
Gaia DR3 2248544988686184064|2248544988686184064|295.81288671|66.196319227
Gaia DR3 2012765337282245888|2012765337282245888|358.07022401|61.877556337
Gaia DR3 2012589140544752384|2012589140544752384|356.96530227|61.096053303
Gaia DR3 2012591099047220608|2012591099047220608|357.35062317|61.11121028
Gaia DR3 2013082855627928832|2013082855627928832|359.48331423|62.9304465
