cntr_01,dist_x,pang_x,designation_01,source_id_01,ra_01,dec_01,oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag
1,4.449383,99.851852,Gaia DR3 2263638568916884096,2263638568916884096,2.9757873582E+02,7.1364333009E+01,1877206400029453,297.5825465,71.3641215,1877,6,4,zr,0,0,0,0,1.559500E+01,1.570000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2,null,null,Gaia DR3 2265611402014032256,2265611402014032256,2.7901514051E+02,7.0467093064E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3,8.750706,60.576784,Gaia DR3 2270570062017774976,2270570062017774976,3.2093731562E+02,6.9534391082E+01,1878101400032075,320.9433713,69.5355851,1878,1,4,zg,1,1,1,1,1.586500E+01,1.160000E-01,0.000000E+00,0.0,null,1.648056E+01,0.000000E+00,1.648056E+01,0.01495403,1.648056E+01
4,4.677003,-77.703440,Gaia DR3 4126197144531483136,4126197144531483136,2.5407764219E+02,-2.2045428592E+01,280116300082452,254.0762727,-22.0451519,280,16,3,zg,0,0,0,0,1.568500E+01,1.090000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
5,6.601413,89.205214,Gaia DR3 4126229541458375808,4126229541458375808,2.5365997403E+02,-2.1879632848E+01,279213400130711,253.6619499,-21.8796074,279,13,4,zr,125,123,130,128,1.507600E+01,1.440000E-01,1.120696E-06,25.8473,3.200366E-01,1.693482E+01,2.359056E-01,1.550663E+01,0.01353154,1.475213E+01
6,7.802655,66.186302,Gaia DR3 1837262184608359296,1837262184608359296,3.0263260888E+02,2.8434277199E+01,640114400038802,302.6348638,28.4351523,640,14,4,zg,1,1,1,1,1.538900E+01,1.810000E-01,0.000000E+00,0.0,null,1.592849E+01,0.000000E+00,1.592849E+01,0.0239296,1.592849E+01
7,3.945240,-75.685668,Gaia DR3 4471638920295089024,4471638920295089024,2.7273726863E+02,5.7384880492E+00,1532202200103047,272.7362014,5.7387590,1532,2,2,zr,0,0,0,0,1.703300E+01,3.340000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
8,null,null,Gaia DR3 4469791641982392192,4469791641982392192,2.7006583654E+02,4.3685857032E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9,8.733389,58.302236,Gaia DR3 4469859876126747392,4469859876126747392,2.7316816524E+02,2.8128057189E+00,486207300113425,273.1702318,2.8140804,486,7,3,zr,2,2,2,2,1.567300E+01,4.500000E-02,8.320147E-06,0.0,4.718046E-01,1.686946E+01,0.000000E+00,1.653584E+01,0.01619435,1.620223E+01
10,5.750559,-53.394306,Gaia DR3 461506747202125696,461506747202125696,4.4979910697E+01,5.9458546001E+01,1812210300066877,44.9773872,59.4594985,1812,10,3,zr,0,0,0,0,1.734800E+01,1.540000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
