#Name	RA	Dec	Gmag
"WISE J045451.56-670203.9"	4:54:51.5666	-67:02:04.1902	Magnitude=14.046777
"WISE J045550.56-695807.0"	4:55:50.5539	-69:58:07.0171	Magnitude=13.954285
"WISE J045719.13-673047.0"	4:57:19.0183	-67:30:47.1236	Magnitude=14.631564
"WISE J050128.62-701120.2"	5:01:28.5746	-70:11:20.3207	Magnitude=13.878529
"WISE J051038.76-642117.8"	5:10:38.7587	-64:21:17.7959	Magnitude=14.231917
"WISE J051852.07-625750.2"	5:18:52.0778	-62:57:50.2623	Magnitude=14.807224
"WISE J052915.30-671259.8"	5:29:15.2975	-67:12:59.8042	Magnitude=13.706032
"WISE J053001.84-664614.4"	5:30:01.8619	-66:46:14.5453	Magnitude=13.860653
"WISE J053323.01-673059.8"	5:33:23.0307	-67:31:00.1152	Magnitude=13.637502
"WISE J053424.65-662557.5"	5:34:24.6489	-66:25:57.589	Magnitude=13.660733
"2MASS J05362506-7012222"	5:36:25.0876	-70:12:22.2496	Magnitude=16.012370999999998
"WISE J110247.58-610632.9"	11:02:47.572	-61:06:32.9421	Magnitude=11.111307
"CPD-60  2585"	11:10:13.4371	-60:46:31.4945	Magnitude=9.750662
