,Name,RA,Dec,Class,Gmag
1,TYC 4500-1480-1,2.86,79.09,Hot,10.00
2,BD+61    45,5.26,62.77,Hot,10.32
18,WISE J003510.68+535234.3,8.79,53.88,Hot,13.06
20,WISE J003524.33+625405.7,8.85,62.90,Hot,11.73
93,TYC 4025-1559-1,13.07,64.55,Hot,11.17
98,BD+63   104,13.17,63.90,Hot,10.13
183,TYC 3271-95-1,14.85,50.36,Hot,10.39
259, MLR  294AB,20.18,67.85,Hot,9.82
264,TYC 4030-2143-1,20.62,61.03,Hot,10.43
271,TYC 4030-1245-1,21.29,61.14,Hot,10.33
301,TYC 3679-1362-1,24.75,57.43,Hot,10.53
311,WISE J014346.87+593051.8,25.95,59.51,Hot,12.30
318,TYC 3696-1770-1,26.91,58.48,Hot,11.07
330,BD+61   347,28.55,62.55,Hot,10.41
340,TYC 4036-733-1,29.86,62.77,Hot,10.25
343,TYC 3697-1563-1,30.73,59.65,Hot,10.98
367,BD+56   596,35.80,57.17,Hot,9.46
370,TYC 3694-2024-1,36.64,56.82,Hot,9.50
382,Lan  27,42.25,62.54,Hot,12.13
383,TYC 4517-178-1,50.90,78.90,Hot,10.44
384,TYC 3320-352-1,52.70,49.85,Hot,10.76
400,WISE J041410.65+314008.3,63.54,31.67,Hot,12.14
405,TYC 3719-1116-1,65.08,52.82,Hot,11.49
413,TYC 3740-1791-1,67.04,56.98,EM,10.76
424,TYC 4329-1167-1,68.80,68.36,Hot,9.97
458,TYC 3355-500-1,71.57,52.39,Hot,9.88
464,TYC 3347-772-1,71.71,48.05,Hot,11.05
1258,TYC 2917-929-1,81.08,42.60,Hot,8.79
1812,TYC 2915-1058-1,85.38,41.06,Hot,11.59
1840,TYC  714-241-1,85.59,8.92,Hot,10.55
1900,HD 247061,86.37,31.21,Hot,9.06
1935,TYC 1311-1885-1,86.96,21.78,Hot,11.79
1952,TYC 2919-376-1,87.23,42.92,Hot,10.28
1954,HD 247770,87.24,31.53,Hot,9.16
1957,TYC 2405-850-1,87.28,30.05,Hot,9.86
1980,TYC 1299-943-1,87.79,15.78,Hot,9.51
1997,TYC 1867-1972-1,88.25,25.77,Hot,9.78
2006,TYC 2406-2086-1,88.48,30.45,Hot,10.20
2023,HD 249559,89.27,15.72,Hot,9.39
2028,WISE J055732.35+254738.6,89.38,25.79,Hot,12.40
2044,TYC 1871-478-1,89.91,27.00,Hot,11.51
2073,TYC 1876-1527-1,91.06,28.41,Hot,11.46
2091,TYC  143-729-1,91.94,7.30,Hot,10.64
2092,WISE J060838.64+232136.8,92.16,23.36,Hot,11.28
2106,TYC  734-682-1,93.14,11.05,Hot,9.09
2110,TYC  734-1754-1,93.24,10.27,Hot,11.21
2113,BD+18  1132,93.45,18.53,Hot,9.51
2126,TYC  731-868-1,94.94,8.72,Hot,10.13
2128,TYC  140-672-1,95.09,5.60,Hot,10.49
2137,TYC  732-2869-1,95.97,9.32,Hot,9.46
2144,TYC  732-1910-1,96.77,7.61,Hot,10.00
2146,TYC 1328-781-1,97.17,16.38,Hot,11.01
2148,TYC 1340-1110-1,97.28,21.36,Hot,10.03
2153,TYC  732-984-1,97.60,7.90,Hot,10.11
2158,WISE J063346.81+125713.0,98.45,12.95,Hot,12.18
2164,TYC  741-459-1,98.93,12.19,Hot,10.79
2167,TYC 4811-1036-1,99.63,-7.04,Hot,10.09
2168,TYC  147-290-1,99.76,0.43,Hot,12.13
2170,BD+38  1561,99.97,38.80,Hot,10.02
2171,TYC 1334-2245-1,100.15,17.21,Hot,10.99
2174,WISE J064237.59-054536.9,100.66,-5.76,Hot,11.44
2175,TYC  147-1574-1,100.95,0.53,Hot,10.75
2176,TYC 4803-24-1,100.99,-1.92,Hot,11.43
2177,WISE J064417.42-164041.8,101.07,-16.68,Hot,12.96
2178,WISE J064619.75-074324.1,101.58,-7.72,Hot,12.20
2179,TYC  156-1093-1,101.75,5.13,Hot,11.15
2180,TYC  747-1325-1,102.55,7.59,Hot,10.10
2181,TYC  751-1759-1,102.83,10.64,Hot,9.74
2182,TYC  751-14-1,102.86,10.37,Hot,11.03
2183,TYC  759-118-1,103.00,14.11,Hot,10.12
2184,TYC 4813-2229-1,103.61,-7.27,Hot,11.84
2185,TYC  161-2243-1,103.73,6.47,Hot,11.04
2186,TYC  756-138-1,104.14,11.74,Hot,11.37
2187,TYC 6523-2437-1,105.27,-23.49,Hot,9.97
2188,WISE J070114.33-105603.0,105.31,-10.93,Hot,11.31
2190,TYC 6523-885-1,105.38,-23.21,Hot,11.08
2191,TYC 5967-465-1,105.64,-17.37,Hot,9.92
2192,TYC 5967-1196-1,105.70,-18.53,Hot,11.40
2193,TYC 5385-1499-1,105.72,-9.53,Hot,10.35
2194,TYC 5967-2360-1,105.77,-18.12,Hot,11.56
2195,TYC 5967-2036-1,105.99,-17.33,Hot,10.35
2196,WISE J070411.13-130641.9,106.05,-13.11,Hot,12.55
2197,TYC  753-1284-1,106.21,9.38,Hot,10.10
2198,TYC 5385-982-1,106.51,-9.47,Hot,9.50
2199,LS  VI -09    6,106.78,-9.19,Hot,10.09
2200,NGC  2343    13,106.83,-10.62,Hot,10.89
2201,TYC 5968-1887-1,107.03,-17.88,Hot,11.01
2202,BD-20  1742,107.16,-20.29,Hot,10.23
2203,TYC  171-2334-1,107.18,5.19,Hot,10.75
2204,TYC 4827-88-1,107.28,-6.19,Hot,10.44
2205,BD-14  1736,107.38,-15.00,Hot,10.13
2206,TYC 5964-207-1,107.62,-15.08,Hot,12.14
2207,BD-07  1791,107.82,-8.18,Hot,10.00
2208,TYC 4823-1194-1,107.94,-4.14,Hot,8.11
2209,TYC 5402-1660-1,108.16,-12.54,Hot,9.98
2210,WISE J071255.83-235105.0,108.23,-23.85,Hot,12.78
2211,TYC 6524-728-1,108.37,-23.00,Hot,11.07
2212,TYC 5973-97-1,108.41,-20.60,Hot,10.18
2213,TYC 5965-1343-1,108.49,-15.29,Hot,10.24
2214,TYC 5406-525-1,108.74,-13.70,Hot,10.72
2215,TYC 5394-430-1,108.83,-7.65,Hot,11.02
2216,TYC 5965-1477-1,108.93,-15.48,Hot,10.76
2217,TYC 5399-1741-1,109.33,-9.59,Hot,11.58
2218,TYC 5399-1683-1,109.35,-9.98,Hot,10.19
2220,BD-07  1877,109.73,-7.62,Hot,9.82
2221,TYC 5973-1929-1,109.74,-19.29,Hot,9.57
2222,CPD-24  2240,109.74,-24.96,Hot,10.72
2223,TYC 5965-1016-1,109.77,-15.64,Hot,10.74
2224,TYC 5965-1875-1,109.77,-16.03,Hot,10.37
2225,TYC 5965-1479-1,109.81,-15.13,Hot,9.94
2226,BD-21  1877,109.91,-21.83,Hot,9.91
2228,TYC 5395-4120-1,110.16,-9.02,Hot,9.58
2229,TYC 5978-2179-1,110.22,-21.34,Hot,10.84
2231,TYC 5978-3602-1,110.62,-21.73,Hot,9.78
2232,WISE J072238.19-213910.1,110.66,-21.65,Hot,12.83
2234,TYC 5966-1-1,110.92,-15.05,Hot,10.28
2235,TYC 5395-1529-1,110.95,-8.21,Hot,10.60
2236,TYC 5395-2905-1,111.06,-8.82,Hot,10.31
2237,TYC 5978-1870-1,111.47,-20.89,Hot,9.63
2238,WISE J072628.02-220513.7,111.62,-22.09,Hot,11.71
2239,TYC 5974-3240-1,111.71,-20.00,Hot,11.53
2240,TYC 5400-3529-1,111.79,-11.24,Hot,10.87
2241,TYC 5404-2914-1,111.86,-11.29,Hot,11.32
2244,TYC 5987-3087-1,112.17,-19.98,Hot,11.95
2246,WISE J072943.58-220021.2,112.43,-22.01,Hot,12.67
2249,BD-12  2021,113.26,-13.04,Hot,9.42
2251,TYC 5991-1262-1,113.54,-20.89,Hot,9.89
2254,BD-21  2028,113.97,-21.72,Hot,10.09
2255,WISE J073554.20-230822.3,113.98,-23.14,Hot,12.41
2256,TYC 5991-1010-1,114.00,-20.69,Hot,10.41
2257,TYC 5409-2739-1,114.00,-14.47,Hot,9.48
2258,TYC 5988-1518-1,114.05,-20.09,Hot,10.61
2260,TYC 5992-956-1,114.72,-21.50,Hot,10.09
2261,TYC 5992-4017-1,114.76,-21.85,Hot,10.78
2263,TYC 5418-2560-1,114.94,-11.80,Hot,10.08
2264,TYC 5988-1978-1,115.06,-19.17,Hot,11.13
2269,WISE J074209.58-191407.1,115.54,-19.24,Hot,11.06
2272,CD-23  6002,115.73,-23.69,Hot,10.39
2273,TYC 5414-2000-1,115.78,-9.80,Hot,10.94
2284,TYC 5981-1048-1,117.10,-16.59,Hot,10.84
2286,TYC 6557-2400-1,118.00,-24.77,Hot,10.96
2289,TYC 6557-1493-1,118.46,-24.38,Hot,10.56
2290,BD-17  2218,118.54,-17.54,Hot,9.57
2312,TYC 6008-15-1,122.43,-22.32,Hot,10.82
2326,TYC 6005-886-1,124.98,-20.60,Hot,10.35
2330,CD-24  6883,125.88,-24.69,Hot,9.70
2431,BD-14  4315,239.19,-14.48,Hot,10.17
2432,BD-04  4012,239.55,-5.18,Hot,10.11
2433,TYC 2576-1733-1,240.16,33.25,Hot,11.44
2438,BD-13  4399,244.77,-14.06,Hot,10.75
2439,TYC 2581-908-1,246.17,30.61,Hot,10.86
2443,WISE J165504.96-243724.2,253.77,-24.62,Hot,12.62
2444,TYC 6810-776-1,254.07,-23.77,Hot,11.32
2447,TYC 6233-1411-1,259.34,-16.05,Hot,10.92
2450,WISE J172058.88-152201.1,260.25,-15.37,Hot,12.77
2451,TYC 6235-2001-1,263.99,-16.73,Hot,11.15
2452,WISE J173701.19-081127.3,264.25,-8.19,Hot,12.21
2465,TYC 6847-3058-1,272.18,-24.79,Hot,10.68
2469,TYC  436-1854-1,274.57,2.70,Hot,10.12
2470,BD+03  3672,274.89,3.22,Hot,10.05
2474,BD+06  3716,275.60,6.42,Hot,10.18
2477,WISE J182447.95-221429.0,276.20,-22.24,Hot,11.58
2479,TYC 1027-2049-1,277.24,9.77,Hot,12.03
2482,BD-13  5016,277.92,-13.80,Hot,9.73
2490,TYC  460-329-1,282.11,7.46,Hot,10.44
2493,TYC 5693-6049-1,282.96,-7.95,Hot,10.68
2494,WISE J185608.58-163255.1,284.04,-16.55,Cool,12.04
2497,TYC 6864-654-1,284.40,-24.59,Hot,11.10
2504,TYC 6300-924-1,289.37,-18.47,Hot,11.98
2506,TYC 2662-198-1,292.10,34.06,Hot,11.07
2507,HD 231561,292.36,10.56,Hot,10.03
2508,TYC 2667-88-1,292.85,35.74,Hot,10.33
2509,TYC 1060-3042-1,293.55,10.59,Hot,10.58
2510,TYC 2142-1120-1,293.94,26.07,Hot,11.91
2511,TYC 3938-1660-1,294.08,55.32,Hot,10.99
2512,WISE J193736.73+260040.6,294.40,26.01,Hot,11.71
2513,WISE J193851.61+275743.9,294.72,27.96,Hot,12.15
2514,TYC 2664-552-1,294.90,34.58,Hot,11.27
2515,TYC 2147-2924-1,295.19,26.60,Hot,11.75
2516,WISE J194127.64+385155.3,295.37,38.87,Cool,12.33
2517,HD 225459,295.67,34.62,Hot,10.92
2518,TYC 2668-733-1,296.01,37.19,Hot,10.85
2519,TYC 2147-975-1,296.25,28.11,Hot,11.46
2520,WISE J194508.46+314943.5,296.29,31.83,Hot,11.99
2521,TYC 3149-124-1,297.55,44.78,Hot,10.75
2522,TYC 2673-3369-1,298.84,32.67,Hot,12.03
2523,WISE J195557.45+371110.2,298.99,37.19,Hot,12.66
2524,TYC 2670-4319-1,299.54,30.15,Hot,11.62
2525,TYC 2670-214-1,299.61,31.81,EM,11.34
2526,TYC 3936-486-1,301.43,54.02,Hot,9.94
2527,WISE J200813.27+220620.0,302.06,22.11,Hot,12.38
2528,CCDM J20135+3634A,303.38,36.56,Hot,11.63
2529,2MASS J20173218+1928504,304.38,19.48,Hot,12.07
2530,UCAC2  22814444,310.96,-22.52,Hot,11.74
2531,BD+44  3640,314.17,45.52,Hot,10.00
2532,TYC 2184-237-1,314.98,29.93,Hot,10.92
2533,TYC 2713-575-1,316.80,36.21,Hot,12.25
2534,TYC 3588-10049-1,317.04,46.55,Hot,11.77
2535,TYC 4256-193-1,319.13,65.51,Hot,11.35
2536,TYC 3169-1945-1,319.93,37.80,Hot,10.81
2537,TYC 3599-2744-1,324.52,49.77,Hot,10.72
2538,WISE J215228.51+525103.5,328.12,52.85,Hot,12.60
2539,WISE J215551.18+585957.0,328.96,59.00,Hot,12.96
2540,TYC 3618-2805-1,333.19,51.48,Hot,10.42
2541,BD+53  2823,333.59,53.72,Hot,9.55
2542,TYC 2231-1015-1,338.58,29.04,Hot,11.88
2543,TYC 3992-2435-1,340.15,56.39,Hot,10.85
2544,TYC 3988-187-1,341.31,55.43,Hot,10.58
2547,TYC 4483-226-1,356.34,70.18,Hot,10.91
