Name,RA,Dec,Class,Gmag
WISE J000559.28-790653.3,1.49713706,-79.11483482,Hot,13.9371195
TYC 4500-1480-1,2.86210879,79.08686958,Hot,10.002561
BD+61    45,5.25504760,62.77064970,Hot,10.324302
 NGC  104    LEE    2520,5.41170226,-72.21106679,Hot,14.010581
WISE J002203.44-693554.7,5.51434821,-69.59851087,Hot,14.416307000000002
WISE J002207.43-742212.1,5.53102165,-74.37003199,Hot,14.335301
WISE J002318.05-742326.4,5.82523611,-74.39068759,Hot,13.363832999999998
WISE J002340.20-750446.9,5.91756693,-75.07972556,Hot,13.021422
WISE J002758.92-764527.2,6.99552600,-76.75757402,Hot,14.15825
WISE J002759.32-742119.8,6.99734043,-74.35552728,Hot,13.611735
WISE J002825.69-755926.0,7.10708626,-75.99057278,Hot,14.286148999999998
WISE J002831.26-741152.3,7.13021439,-74.19786364,Hot,14.358695
WISE J003005.22-735449.9,7.52180247,-73.91388298,Hot,13.589957
WISE J003059.15-734429.0,7.74648545,-73.74141688,Hot,13.770064
SSTISAGEMA J003155.60-733508.0,7.98175282,-73.58558744,Hot,13.435893
WISE J003433.04-735224.1,8.63763806,-73.87335089,Hot,13.202696
WISE J003453.72-800811.8,8.72388004,-80.13662491,Hot,13.332501
SSTISAGEMA J003503.35-741212.1,8.76390156,-74.20341093,Hot,12.934051
WISE J003510.68+535234.3,8.79449263,53.87620790,Hot,13.061725
OGLE SMC-LPV-1698,8.82423196,-73.17227388,Hot,15.822647
WISE J003524.33+625405.7,8.85141036,62.90159490,Hot,11.726635
WISE J003548.24-730707.9,8.95105662,-73.11888865,Hot,13.880432999999998
SSTISAGEMA J003550.22-734916.5,8.95917568,-73.82127876,Hot,14.228701
WISE J003759.08-674700.7,9.49627160,-67.78354760,Hot,13.979167000000002
WISE J003802.05-733749.4,9.50854053,-73.63037558,Hot,13.472332000000002
OGLE SMC-SC1  69199,9.57867345,-73.52557931,Hot,13.6701565
SSTISAGEMA J003835.98-745340.2,9.65004903,-74.89451127,Hot,14.523003
 HV   817,9.81904649,-72.03286739,Hot,13.937256
SSTISAGEMA J003953.01-733638.6,9.97087631,-73.61072813,Hot,14.396293
2MASS J00412635-7227222,10.35989202,-72.45620824,Hot,15.657364
WISE J004216.97-724456.5,10.57074215,-72.74904255,Hot,14.531964000000002
WISE J004258.92-731730.5,10.74548845,-73.29178741,Hot,13.696599
WISE J004304.79-733521.7,10.76997209,-73.58936298,Hot,13.82111
SSTISAGEMA J004341.66-731932.7,10.92359712,-73.32568107,Hot,13.670475
 HV   823,10.95186273,-73.61354934,Hot,13.719307
SSTISAGEMA J004349.19-730005.2,10.95498081,-73.00143752,Hot,14.518806
SSTISAGEMA J004401.14-725942.5,11.00483288,-72.99511110,Hot,13.409144
WISE J004410.87-731245.3,11.04534797,-73.21256569,Hot,13.869412
2MASS J00443891-7357344,11.16211009,-73.95954094,Hot,15.440305
2MASS J00450373-7304508,11.26566503,-73.08075485,Cool,14.022185
2MASS J00462135-7241572,11.58904718,-72.69921720,Hot,14.933177
2MASS J00464255-7308007,11.67738236,-73.13351468,Hot,15.008589
WISE J004700.94-732213.6,11.75387779,-73.37044327,Hot,13.142194
2MASS J00470246-7502289,11.76034787,-75.04140381,Hot,15.831543
WISE J004702.56-725508.8,11.76062619,-72.91914534,Hot,13.072355
OGLE SMC-LPV-6307,11.80560969,-72.70482586,Hot,14.206995
WISE J004729.18-652219.4,11.87161958,-65.37208593,Hot,14.045359
WISE J004732.84-732431.6,11.88696435,-73.40877945,Hot,14.492285999999998
{[MA93]}  177,11.88715634,-73.35454697,Hot,14.026201
WISE J004739.92-732512.1,11.91643588,-73.42003855,Hot,14.294639000000002
WISE J004745.14-731826.1,11.93819856,-73.30726757,Hot,13.740379999999998
WISE J004758.13-724855.1,11.99216560,-72.81526297,Hot,13.690299
OGLE SMC-LPV-6867,12.01458912,-72.64966514,Hot,15.541664
WISE J004809.24-720329.3,12.03847216,-72.05818098,Hot,13.759211
2MASS J00481469-7305141,12.06125051,-73.08726820,Hot,15.359797
MACHO 212.15849.24,12.16045402,-73.15365211,Hot,15.289504
SSTISAGEMA J004839.50-733154.7,12.16466688,-73.53187322,Hot,13.482776
ISO-MCMS J004931.9-731522,12.38203611,-73.25644059,Hot,14.493467
SSTISAGEMA J004932.48-722914.1,12.38528402,-72.48726270,Hot,13.94057
UCAC2   1000560,12.40331891,-73.46507077,Hot,13.704123499999998
SSTISAGEMA J004940.83-730334.3,12.42023423,-73.05954440,Hot,13.682386
WISE J004946.43-722746.2,12.44341917,-72.46285648,Hot,12.698674
2MASS J00494744-7248033,12.44773311,-72.80089830,Hot,14.972203
OGLE SMC-SC5 105813,12.47031101,-73.24473541,Hot,14.102618
2MASS J00495947-7222526,12.49778593,-72.38128328,Hot,15.168491
WISE J005011.93-732115.7,12.54975042,-73.35432887,Hot,13.791924
SSTISAGEMA J005012.73-720443.4,12.55295956,-72.07876089,Hot,14.169578
ISO-MCMS J005013.7-731710,12.55440210,-73.28617855,Hot,13.533567
{[M2002]} SMC  16273,12.58855974,-73.10264735,Hot,13.286776
WISE J005021.90-774134.1,12.59138308,-77.69280019,Hot,13.64453
WISE J005025.51-734000.7,12.60642258,-73.66687176,Hot,14.725465
ISO-MCMS J005033.7-731524,12.64036006,-73.25693193,Hot,11.7850485
WISE J005036.66-724551.4,12.65262942,-72.76428482,Hot,14.266283
WISE J005037.00-730741.7,12.65409973,-73.12827145,Hot,13.570429999999998
 HV  1501,12.66076120,-72.95925068,Hot,13.962815
WISE J005049.35-723331.6,12.70557868,-72.55876627,Hot,14.537963
WISE J005113.67-732026.2,12.80705366,-73.34063291,Hot,13.1426325
UCAC2   1248707,12.81636141,-71.58713099,Hot,13.249985999999998
ISO-MCMS J005117.5-731011,12.82257258,-73.16994239,Hot,13.542981
{[M2002]} SMC  19448,12.82604175,-72.72353703,Hot,13.399644
WISE J005120.84-715846.0,12.83687012,-71.97944436,Hot,13.738497
WISE J005122.57-731331.4,12.84390871,-73.22540652,Hot,15.1457815
WISE J005125.71-724548.0,12.85717109,-72.76333872,Hot,13.954418
WISE J005138.26-724724.8,12.90943685,-72.79020111,Hot,13.551491
WISE J005139.49-731831.4,12.91470080,-73.30871736,Hot,13.644957000000002
2MASS J00514542-7339090,12.93924351,-73.65253388,Hot,15.523016
 HV  1541,12.95310112,-73.15585396,Hot,13.893306
SSTISAGEMA J005151.15-715647.8,12.96305713,-71.94662490,Hot,13.288407
{[M2002]} SMC  21946,12.99998209,-73.05926472,Hot,13.455470000000002
OGLE SMC-SC6  35444,13.00149254,-73.08953557,Hot,13.549864
MACHO 212.16074.2,13.01565404,-73.40277463,Hot,14.039722
SSTISAGEMA J005206.94-720740.5,13.02886572,-72.12793615,Hot,13.907516500000002
WISE J005211.02-732036.5,13.04606768,-73.34350954,Hot,12.56621
TYC 4025-1559-1,13.06892268,64.55268060,Hot,11.16825
WISE J005224.67-722837.3,13.10285789,-72.47706150,Hot,14.694354999999998
WISE J005238.96-730034.9,13.16249181,-73.00972905,Hot,13.423331
SSTISAGEMA J005239.25-724424.5,13.16358106,-72.74016011,Hot,13.373970000000002
DCMC J005239.34-725110.1,13.16387589,-72.85293371,Hot,16.034185
BD+63   104,13.17015229,63.89822164,Hot,10.126503
WISE J005241.25-730201.0,13.17192464,-73.03364986,Hot,13.877442000000002
SSTISAGEMA J005243.55-715858.1,13.18148529,-71.98283146,Hot,13.55877
{[M2002]} SMC  24791,13.20911257,-72.22221840,Hot,13.335322
 HV 11157,13.23671117,-71.91757349,Hot,12.665885
WISE J005301.44-722359.1,13.25611055,-72.39978484,Hot,13.322366
WISE J005302.37-722955.6,13.25991676,-72.49881639,Cool,13.778351999999998
WISE J005302.57-723734.7,13.26072333,-72.62632665,Hot,13.9608965
Dachs SMC 1-22,13.26755395,-72.64212846,Hot,12.2089205
SSTISAGEMA J005306.68-722041.1,13.27795392,-72.34474511,Hot,14.145014000000002
WISE J005310.05-725244.3,13.29189018,-72.87903138,Hot,13.0928755
DCMC J005317.47-733104.7,13.32281946,-73.51806555,Hot,16.123966
WISE J005321.52-715039.8,13.33978830,-71.84439861,Hot,13.583434
SSTISAGEMA J005322.92-722447.7,13.34557370,-72.41324215,Hot,13.621285999999998
SSTISAGEMA J005326.55-721203.4,13.36067586,-72.20092362,Hot,13.238485999999998
2MASS J00532969-7315454,13.37379344,-73.26266246,Hot,15.110945
SSTISAGEMA J005336.36-722110.5,13.40155295,-72.35289780,Hot,14.219283
WISE J005337.26-722355.7,13.40526905,-72.39884052,Hot,12.99819
WISE J005337.81-723239.4,13.40763275,-72.54429306,Hot,12.675267
WISE J005339.16-720346.2,13.41327769,-72.06283075,Hot,13.165035
WISE J005340.23-722433.9,13.41772565,-72.40938551,Hot,13.704391
WISE J005340.32-720652.3,13.41804599,-72.11452514,Hot,13.750319500000002
SSTISAGEMA J005341.58-722347.1,13.42329138,-72.39641992,Hot,13.612703
