Name,RA,Dec,Class,Gmag
TYC 4500-1480-1,2.86210879,79.08686958,Hot,10.002561
BD+61    45,5.2550476,62.7706497,Hot,10.324302000000001
WISE J003510.68+535234.3,8.79449263,53.8762079,Hot,13.061725
WISE J003524.33+625405.7,8.85141036,62.9015949,Hot,11.726635
TYC 4025-1559-1,13.06892268,64.5526806,Hot,11.16825
BD+63   104,13.17015229,63.89822164,Hot,10.126503
TYC 3271-95-1,14.85497417,50.35752511,Hot,10.394663000000001
 MLR  294AB,20.18335893,67.85084861,Hot,9.821628
TYC 4030-2143-1,20.61765389,61.03282095,Hot,10.427846
TYC 4030-1245-1,21.29306968,61.14207048,Hot,10.33357
TYC 3679-1362-1,24.75167839,57.43273133,Hot,10.528036
WISE J014346.87+593051.8,25.94529265,59.51440165,Hot,12.303647
TYC 3696-1770-1,26.90971105,58.47989701,Hot,11.065742
BD+61   347,28.54874982,62.5548765,Hot,10.405349000000001
TYC 4036-733-1,29.85771479,62.76759038,Hot,10.249474000000001
TYC 3697-1563-1,30.73013731,59.64632527,Hot,10.978492999999999
BD+56   596,35.79841674,57.17214356,Hot,9.455489
TYC 3694-2024-1,36.64111418,56.816453,Hot,9.500202999999999
Lan  27,42.25080557,62.53533259,Hot,12.129004
TYC 4517-178-1,50.90217472,78.9014929,Hot,10.440789
TYC 3320-352-1,52.69920424,49.84966639,Hot,10.762549
WISE J041410.65+314008.3,63.5444062,31.6689765,Hot,12.135769
TYC 3719-1116-1,65.08334635,52.820534,Hot,11.493131
TYC 3740-1791-1,67.04064215,56.98449308,EM,10.764656
TYC 4329-1167-1,68.79882275,68.35502849,Hot,9.96759
TYC 3355-500-1,71.56806621,52.38567174,Hot,9.883177
TYC 3347-772-1,71.71035962,48.04929072,Hot,11.048359
TYC 2917-929-1,81.08166952,42.60381641,Hot,8.792342
TYC 2915-1058-1,85.38397841,41.06036006,Hot,11.588594
TYC  714-241-1,85.58964891,8.92457732,Hot,10.550974
HD 247061,86.36749446,31.21145768,Hot,9.05659
TYC 1311-1885-1,86.95757996,21.7761816,Hot,11.790668
TYC 2919-376-1,87.22554016,42.91699797,Hot,10.275731
HD 247770,87.24034261,31.53243038,Hot,9.164963
TYC 2405-850-1,87.28072926,30.04567057,Hot,9.856612
TYC 1299-943-1,87.78574347,15.78418211,Hot,9.511494
TYC 1867-1972-1,88.24547953,25.76622799,Hot,9.782872
TYC 2406-2086-1,88.4759663,30.44604212,Hot,10.196403
HD 249559,89.2719171,15.71870073,Hot,9.389456
WISE J055732.35+254738.6,89.38481724,25.794052,Hot,12.396156
TYC 1871-478-1,89.91094228,26.99749263,Hot,11.513511
TYC 1876-1527-1,91.06137115,28.40782883,Hot,11.456773
TYC  143-729-1,91.94473847,7.29783604,Hot,10.642716
WISE J060838.64+232136.8,92.16101774,23.36023849,Hot,11.283838000000001
TYC  734-682-1,93.13805289,11.05274377,Hot,9.088884
TYC  734-1754-1,93.23676207,10.27383264,Hot,11.2053585
BD+18  1132,93.45001461,18.52847237,Hot,9.511598
TYC  731-868-1,94.94387147,8.71791242,Hot,10.126653
TYC  140-672-1,95.08837435,5.60025054,Hot,10.487827000000001
TYC  732-2869-1,95.97298328,9.32078829,Hot,9.455729
TYC  732-1910-1,96.77207931,7.60518796,Hot,9.999559
TYC 1328-781-1,97.17051979,16.38127363,Hot,11.006142
TYC 1340-1110-1,97.28153225,21.36354611,Hot,10.029617
TYC  732-984-1,97.5995006,7.90036609,Hot,10.11496
WISE J063346.81+125713.0,98.44505583,12.95361994,Hot,12.177887
TYC  741-459-1,98.92721836,12.18973975,Hot,10.788355000000001
TYC 4811-1036-1,99.63247877,-7.03641296,Hot,10.09037
TYC  147-290-1,99.75505746,0.43361906,Hot,12.132610000000001
BD+38  1561,99.97220715,38.79859377,Hot,10.019092
TYC 1334-2245-1,100.15464799,17.20834168,Hot,10.993732000000001
WISE J064237.59-054536.9,100.65665086,-5.7602657,Hot,11.435534
TYC  147-1574-1,100.94700215,0.52717122,Hot,10.74761
TYC 4803-24-1,100.98811886,-1.9209016,Hot,11.425246000000001
WISE J064417.42-164041.8,101.07258955,-16.6782822,Hot,12.962234500000001
WISE J064619.75-074324.1,101.58227996,-7.72335368,Hot,12.200552
TYC  156-1093-1,101.74939839,5.13052582,Hot,11.147206
TYC  747-1325-1,102.5508293,7.58631396,Hot,10.098716
TYC  751-1759-1,102.82628114,10.63619177,Hot,9.737364999999999
TYC  751-14-1,102.85504959,10.37005686,Hot,11.027939
TYC  759-118-1,102.9951593,14.11284692,Hot,10.115753999999999
TYC 4813-2229-1,103.6143587,-7.26810976,Hot,11.844368
TYC  161-2243-1,103.72807569,6.47258258,Hot,11.039385000000001
TYC  756-138-1,104.14077831,11.7381072,Hot,11.370214
TYC 6523-2437-1,105.27225588,-23.49238568,Hot,9.974160000000001
WISE J070114.33-105603.0,105.30971674,-10.93419974,Hot,11.306647
TYC 6523-885-1,105.3783065,-23.21027099,Hot,11.078577000000001
TYC 5967-465-1,105.64077588,-17.37261045,Hot,9.919604
TYC 5967-1196-1,105.69583968,-18.53287241,Hot,11.398852999999999
TYC 5385-1499-1,105.71773343,-9.53472968,Hot,10.350331
TYC 5967-2360-1,105.77445283,-18.11527384,Hot,11.557394
TYC 5967-2036-1,105.98847605,-17.33013853,Hot,10.34579
WISE J070411.13-130641.9,106.04637533,-13.11165143,Hot,12.549225
TYC  753-1284-1,106.21078616,9.38319041,Hot,10.095512
TYC 5385-982-1,106.51230678,-9.4745443,Hot,9.498266000000001
LS  VI -09    6,106.78384347,-9.18626634,Hot,10.086738
NGC  2343    13,106.82802036,-10.61735112,Hot,10.893373500000001
TYC 5968-1887-1,107.02989242,-17.88442537,Hot,11.011083
BD-20  1742,107.15756614,-20.29358799,Hot,10.225937
TYC  171-2334-1,107.17664119,5.19115268,Hot,10.747033
TYC 4827-88-1,107.28404195,-6.19197576,Hot,10.439667
BD-14  1736,107.3796056,-14.99678625,Hot,10.125862
TYC 5964-207-1,107.61544482,-15.08287323,Hot,12.138669
BD-07  1791,107.82300387,-8.1794157,Hot,10.004703999999998
TYC 4823-1194-1,107.94077648,-4.13713659,Hot,8.107479
TYC 5402-1660-1,108.16252439,-12.54314086,Hot,9.977687
WISE J071255.83-235105.0,108.23264904,-23.85136309,Hot,12.776715
TYC 6524-728-1,108.36965981,-23.004199,Hot,11.069602
TYC 5973-97-1,108.41365766,-20.59757893,Hot,10.175912
TYC 5965-1343-1,108.49052393,-15.28942044,Hot,10.237877000000001
TYC 5406-525-1,108.73839195,-13.70028176,Hot,10.720628999999999
TYC 5394-430-1,108.83478395,-7.64509124,Hot,11.020975
